"UID","accession_no","issn","eissn","doi","doc_type","source","itemtitle","pubyear","pubmonth","coverdate","sortdate","vol","pubtype","issue","supplement","special_issue","part_no","indicator","is_archive","has_abstract","oases_type_gold","abstract"
"WOS:000075193000005","107EA","0022-1996","NULL","NULL","Article","JOURNAL OF INTERNATIONAL ECONOMICS","Currency areas, international monetary regimes, and the employment-inflation tradeoff","1998","AUG","AUG 1998","1998-08-01","45","Journal","2","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>We show that the employment-inflation tradeoff facing a central bank depends on the size of the economy for which it sets monetary policy. For inflation-averse central banks, the tradeoff improves the smaller the relevant economy. The tradeoff facing the region whose central bank controls the exchange rate in a managed exchange rate regime does not change moving to a symmetric flexible exchange rate regime. Instead, the core region in an asymmetric regime faces a worse tradeoff than under flexible exchange rates. Equipped with these results, we explore the issue of the optimal size of a currency area both in a two and in a three-region world. (C) 1998 Elsevier Science B.V.</p>"
"WOS:000075239200006","107YU","0014-2921","NULL","NULL","Article","EUROPEAN ECONOMIC REVIEW","Lobbying by capital and labor over trade and labor market policies","1998","JUL","JUL 1998","1998-07-01","42","Journal","7","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>This paper uses the common agency approach to analyze the joint determination of product and labor market distortions in a small open economy. Capital owners and union members lobby the government on both tariffs and minimum wages, while other factors of production are not organized. The paper shows that product and labor market distortions always move in the same direction, and that their level is not modified by social pacts between capital and labor. It also shows that labor market distortions are second best. Hence, conditionality by foreign organizations should target distortions in product markets but not in labor markets. (C) 1998 Elsevier Science B.V. All rights reserved.</p>"
"WOS:000075882000002","119EC","0048-7333","NULL","NULL","Article","RESEARCH POLICY","Does technological convergence imply convergence in markets? Evidence from the electronics industry","1998","SEP","SEP 1998","1998-09-01","27","Journal","5","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>This paper uses data on new subsidiaries, acquisitions, collaborative agreements, and patents of the largest 32 US and European electronics firms during 1984-1992 to examine the relationships between technological and business diversification. We find that during the 1980s many firms focused on fewer businesses, but we find no evidence of greater technological focus. We argue that this is related to the fact that, in spite of technological convergence, electronics sectors still command highly industry- or even product-specific downstream assets. In addition, we find that business focus improved performance, but that better performance is also associated with greater technological diversification. We discuss some interpretation of this finding. (C) 1998 Elsevier Science B.V. All rights reserved.</p>"
"WOS:000076041400001","121XP","0378-4266","NULL","NULL","Article","JOURNAL OF BANKING & FINANCE","Corporate groups, dual-class shares and the value of voting rights","1998","SEP","SEP 1998","1998-09-01","22","Journal","9","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>It is known that deviating from the one-share-one-vote principle through the issue of non-voting stock increases the value of outsiders' voting rights. We argue that the creation of a business group is another way to deviate from one-share-one-vote and we show that it produces a larger voting-share premium in holding companies. As a consequence, having both subsidiaries and non-voting stock produces a multiplier effect on the voting premium. The puzzling size of the premium in Italy was never related to the interaction of pyramiding and non-voting stock. Our empirical study confirms that the premium is larger for holding companies issuing non-voting stock than for similar operating companies without non-voting equity. (C) 1998 Elsevier Science B.V. All rights reserved.</p>"
"WOS:000076423700001","128TY","0170-8406","NULL","NULL","Editorial Material","ORGANIZATION STUDIES","Back to the future of organization theory","1998","NULL","1998","1998-01-01","19","Journal","4","NULL","NULL","NULL","NULL","NULL","N","NULL","NULL"
"WOS:000076423700005","128TY","0170-8406","NULL","NULL","Article","ORGANIZATION STUDIES","Do all roads lead to Rome ... or Berlin? The evolution of intra- and interorganizational routines in the machine-building industry","1998","NULL","1998","1998-01-01","19","Journal","4","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>Contingent and institutional perspectives have been contrasted in order to explain the evolution of organization structures and inter-firm relations in the Italian and German machine-building industries, both of which were racked by a massive change in their competitive and technological environments. The result was an increasing similarity in their internal and external organization. The change was guided by an interplay of autonomous problem solving, mimetic isomorphism of fashionable practices and societal features. The different education and industrial relations systems appeared to be functionally equivalent. The task characteristics (type of strategy, the variability of customer demands, and technological complexity) were related to configurational and functional differentiation, the rigidity of functional specialization and the intensity of interfunctional coordination; the exceptionality of customer demands was related to features of the internal processes. Task characteristics were also related to the level of outsourcing and the mode of inter-firm coordination; the measurability of a supplier's performance was related to inter-firm coordination mechanisms. The characteristics of both internal and external organization affected each other.</p>"
"WOS:000076616500064","132EC","0022-2801","NULL","NULL","Book Review","JOURNAL OF MODERN HISTORY","The Aldo Moro murder case.","1998","SEP","SEP 1998","1998-09-01","70","Journal","3","NULL","NULL","NULL","NULL","NULL","N","NULL","NULL"
"WOS:000077213000006","142QZ","0276-7783","NULL","NULL","Article","MIS QUARTERLY","The merchant of Prato - Revisited: Toward a third rationality of information systems","1998","JUN","JUN 1998","1998-06-01","22","Journal","2","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>The failure of SPRINTEL, an interorganizational information system in Prato (Italy), raises a number of interesting questions with regard to the technical-economic and socio-political perspectives that currently dominate the information systems/information technology literature. These questions underscore the importance of developing additional theoretical perspectives in order to better understand the role of information systems in organizations. This article reflects upon these questions and their theoretical foundations in the context of a case study. The case study describes the implementation, usage, and outcome of an interorganizational information system. An analysis is made of the extent to which the technical-economic and socio-political perspectives are sufficient to explain the failure of this system. The outcome of the analysis shows that these two perspectives are insufficient to provide an explanation. Based on the literature from a variety of sources, a third, complementary perspective is developed. Like the socio-political perspective (Kling 1980), this perspective is also an interactionist perspective. However, instead of focusing on politics and conflict as the primary interaction mode, it focuses on collaboration and cooperation as the key to understanding interaction processes. This perspective introduces a third rationality of information systems in which trust, social capital, and collaborative relationships become the key concepts for interpretation.</p>"
"WOS:000077559000004","148XF","0014-2921","NULL","NULL","Article","EUROPEAN ECONOMIC REVIEW","Enforcement of employment security regulations, on-the-job search and unemployment duration","1999","JAN","JAN 1999","1999-01-01","43","Journal","1","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>Contrary to the popular wisdom, 'sclerotic' European labour markets are characterised by relatively large job turnover rates, A model is developed which - unlike standard theories of job matching with on-the-job search - can account for the coexistence of strict employment security regulations, significant job-to-job shifts and high long-term unemployment rates in these countries. This is because: (i) employment security regulations can only be enforced by increasing the number of workers on 'short-term jobs', and (ii) the latter compete for jobs with unemployed jobseekers. Evidence is presented showing that job-finding probabilities of the unemployed are decreasing in the incidence of temporary employment, in line with the predictions of the model. (C) 1998 Elsevier Science B.V. All rights reserved.</p>"
"WOS:000077574200002","147NW","0168-8510","NULL","NULL","Article","HEALTH POLICY","The new pharmaceutical policy in Italy","1998","OCT","OCT 1998","1998-10-01","46","Journal","1","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>Pressed by an impressive series of corruption scandals and by a change of attitude towards cost-containment, the Italian pharmaceutical sector's regulatory environment was radically changed in 1994. Regulatory power was concentrated on a national technical body (CUF) and a new set of measures was taken, including a nationwide drug expenditure budget, a redefinition of both the positive list and the cost-sharing rules, and new price-setting models. As a result, in the period 1993-1996, nominal expenditures decreased by about L 1600 billion (ECU 83.6 billion at 1997 exchange rate), that is from 13.3% to 11.0% of current National Health Service (NHS) expenditure. While in the 1980s Italy was one of the most generous countries in funding pharmaceuticals, it is now one of the most parsimonious. Although the overall pharmaceutical market shrank in 1994 and 1995, a substantial part of NHS drug-bill savings resulted from cost-shifting from the public sector to patients, mainly because physicians have not aligned their prescribing behaviour to the new positive list. The new Italian approach to containing pharmaceutical costs has been certainly effective, at least in the short run. However, new relevant issues are emerging regarding the fall of NHS pharmaceutical coverage, the centralised nature of the Italian pharmaceutical policy and the gap between scientific based policies and actual prescribing behaviours. (C) 1998 Elsevier Science Ireland Ltd. All rights reserved.</p>"
"WOS:000077699300005","151AT","0192-5121","NULL","NULL","Article","INTERNATIONAL POLITICAL SCIENCE REVIEW","The American system of separated government: An historical-institutional interpretation","1999","JAN","JAN 1999","1999-01-01","20","Journal","1","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>How should one define the American system of government? Sometimes, especially among non-American scholars, it is taken for granted that the American is a presidential system, or that it is the archetype of presidentialism, At other times, especially among American scholars, it is taken for granted that it incarnates the separation of power system envisioned by Madison. An historical-institutional analysis shows that both interpretations are unsatisfactory. The American system is better defined as a system of separated government which experienced different institutional pre-eminances during its two centuries Of democratic history. The very same Constitution allowed a long period of congressional and then of presidential pre-eminence, recently tamed by a regime of divided government.</p>"
"WOS:000077754900011","152BE","0735-0015","NULL","NULL","Article","JOURNAL OF BUSINESS & ECONOMIC STATISTICS","Some consequences of temporal aggregation in empirical analysis","1999","JAN","JAN 1999","1999-01-01","17","Journal","1","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>I derive the generating mechanism of a temporally aggregated process when the disaggregated one belongs to the vector autoregressive integrated moving average class. I then study the effects of temporal aggregation on a set of characteristics of usual interest such as exogeneity, causality, cointegration, and common features. An empirical example with Canadian interest rates illustrates the main issues.</p>"
"WOS:000078206100011","159ZP","0363-7425","NULL","NULL","Article","ACADEMY OF MANAGEMENT REVIEW","A resource-based view of product development","1999","JAN","JAN 1999","1999-01-01","24","Journal","1","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>The resource-based view of the firm contributes to the management of product development by highlighting how different functional and integrative capabilities affect process efficiency and product effectiveness. Here, I first review this evidence and then add it to past findings on this topic to form an agent-resource model, which provides a more analytical understanding of product development performance drivers. I also discuss the model in order to direct future research on such relevant issues as the creation, the utilization and the capitalization of capabilities.</p>"
"WOS:000078790300007","170DG","0377-2217","NULL","NULL","Article","EUROPEAN JOURNAL OF OPERATIONAL RESEARCH","Some basic problems in inventory theory: The financial perspective","1999","APR 16","APR 16 1999","1999-04-16","114","Journal","2","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>The analysis of the standard EOQ problem from a financial perspective is proposed. The case of mixed financing (equity and debt) is considered and the results are compared with those stemming from the Average cost approach. It is shown that no prediction about the result can be made. We solve completely the problem of finding the best financing policy. As the financial framework suggests to consider an infinity of inventory cycles, we investigate the effects on the solution of a more realistic finite truncation of the chain. We show that the finite chain solution is always smaller than the infinite chain one. (C) 1999 Elsevier Science B.V. All rights reserved.</p>"
"WOS:000078800700048","170HR","0013-0133","NULL","NULL","Book Review","ECONOMIC JOURNAL","Statistics for emerging labour markets in transition economies: A technical guide on sources, methods, classifications and policies","1999","FEB","FEB 1999","1999-02-01","109","Journal","453","NULL","NULL","NULL","NULL","NULL","N","NULL","NULL"
"WOS:000079236600001","177XP","0147-5967","NULL","NULL","Editorial Material","JOURNAL OF COMPARATIVE ECONOMICS","Unemployment and labor market policies in transition countries","1999","MAR","MAR 1999","1999-03-01","27","Journal","1","NULL","NULL","NULL","NULL","NULL","N","NULL","NULL"
"WOS:000079236600002","177XP","0147-5967","NULL","NULL","Article","JOURNAL OF COMPARATIVE ECONOMICS","Returns to mobility in the transition to a market economy","1999","MAR","MAR 1999","1999-03-01","27","Journal","1","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>In spite of ongoing dramatic changes in labor market structure, transitional economies display low worker Bows across sectors and occupations. Using data from the Polish tabor Force Survey, we develop and estimate an econometric model that enables us to isolate the effects of dismissal and job offer arrival rates and wage offer distributions on observed transition probabilities and wage payments. Our findings suggest that low mobility can be explained by the relatively insignificant monetary returns to job changes as well as by market segmentation in the allocation of job offers. Using the estimated model, we infer that reductions in the generosity of unemployment benefits will not significantly boost outflows from the unemployed state. J Comp. Econom., March 1999, 27(1), pp 4-32. CEPR and Universita Bocconi, IGIER via Salasco 5, 20136 Milan, Italy; and New York; University, 269 Mercer Street, New York, New York 10003. (C) 1999 Academic Press. Journal of Economic Literature Classification Numbers: J62, J63, J63.</p>"
"WOS:000079474800010","181ZV","0001-690X","NULL","NULL","Article","ACTA PSYCHIATRICA SCANDINAVICA","Health care costs of therapy-refractory schizophrenic patients treated with clozapine: a study in a community psychiatric service in Italy","1999","APR","APR 1999","1999-04-01","99","Journal","4","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>This study evaluates the utilization of clozapine in the treatment of therapy-refractory schizophrenia in terms both of patterns of care and of health care costs in a community psychiatric service in Italy. Data covering the year prior to commencing clozapine and the year following the initiation of the therapy were collected. Clinical outcome was assessed by means of the Clinical Global Impression (CGI) and Global Assessment of Functioning (GAF) scales. Cost analysis followed a two-step procedure: (i) to record all health care services provided to patients and (ii) to assign a monetary value to each service. Three of the 15 patients enrolled in the study dropped out before the end of the 12-month period of therapy. Considering the 12 patients on clozapine treatment for at least 1 year, clinical improvements are associated with a substantial modification of the pattern of care. While patients in the pre-clozapine period were mainly managed in hospital settings, patients on clozapine were prevalently placed in the community and participated in intensive rehabilitative programmes. The higher costs of drug therapy and community services in the post-clozapine period were more than offset by the lower costs of acute hospital care.</p>"
"WOS:000079514500010","182TP","0169-2070","NULL","NULL","Software Review","INTERNATIONAL JOURNAL OF FORECASTING","PcGive Professional 9.1 for Windows.","1999","APR","APR 1999","1999-04-01","15","Journal","2","NULL","NULL","NULL","NULL","NULL","N","NULL","NULL"
"WOS:000079609000007","BM72N","NULL","NULL","NULL","Article","ADVANCES IN ECONOMETRICS, VOL 13 1998","Temporal disaggregation, missing observations, outliers, and forecasting: A unifying non-model-based procedure","1998","NULL","1998","1998-01-01","13","Book in series","NULL","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>We suggest a simple non-model-based procedure to recover a time series from its temporally aggregated realizations. If additional assumptions on the underlying process are introduced, it is shown that the procedure is related to many of the former proposals in the literature. It can also be easily modified to deal with the estimation of missing observations and outliers, and with forecasting. Finally, some important identification issues are discussed.</p>"
"WOS:000079809500009","187VV","0040-585X","1095-7219","NULL","Article","THEORY OF PROBABILITY AND ITS APPLICATIONS","On the central limit problem for partially exchangeable random variables with values in a Hilbert space","1998","NULL","1998","1998-01-01","42","Journal","4","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>This paper deals with a central limit problem for columnwise exchangeable arrays of a Hilbert space valued random variables satisfying the condition of conditional uniform asymptotic negligibility. It is proved that rowwise sums may converge in distribution only to an exchangeable sequence of random variables whose distribution is a mixture of infinitely divisible distributions. Conditions for convergence to a specific distribution and, in particular, to a mixture of Gaussian distributions, are also given.</p>"
"WOS:000079838800016","188GQ","0160-5682","NULL","NULL","Article","JOURNAL OF THE OPERATIONAL RESEARCH SOCIETY","Introducing system dynamics to the BBC World Service: An insider perspective","1999","APR","APR 1999","1999-04-01","50","Journal","4","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>The paper relates the story of the encounter between system dynamics modelling and the BBC World Service told from the perspective of a manager who was also championing the approach inside the World Service. The outcome provides interesting lessons and useful ideas on the contribution to organisational change that can and cannot be expected from a system dynamics project. The paper opens with a review of the published literature on the impact of system dynamics within organisations. The BBC World Service organisation and culture are then briefly described, with particular reference to potential fits and misfits with the system dynamics approach. The process of building a World Service model is described, both in terms of historical and technical stages. The project's impact on the organisation is reported, whether the impact arose by design or default. This appraisal covers the model building process, the analysis of simulations and finally the development of a microworld or gaming simulator. The paper concludes with comments on the merits of system dynamics to an organisation like the BBC World Service, pinning down the tangible and less tangible benefits delivered and making suggestions to encourage acceptability of the approach.</p>"
"WOS:000080046900002","191XK","0899-8256","NULL","NULL","Article","GAMES AND ECONOMIC BEHAVIOR","On non-Nash equilibria","1999","MAY","MAY 1999","1999-05-01","27","Journal","2","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>I consider generalisations of the Nash equilibrium concept based on the idea that in equilibrium the players' beliefs should not be contradicted, even if they could possibly be, incorrect. This possibility depends on the information about opponents' behaviour available to the players in equilibrium. Therefore the players' information is crucial for this notion of equilibrium, called Conjectural Equilibrium in general and Rationalizable conjectural. Equilibrium (Rubinstein-Wolinsky 1994) when the game and the players' Bayesian rationality are common knowledge. In this paper I argue for a refinement of Rationalizable Conjectural Equilibrium showing by propositions and by examples how this equilibrium notion works and how the suitable equilibrium concept depends on the players' information. (C) 1999 Academic Press.</p>"
"WOS:000080311700003","196MG","0014-2921","NULL","NULL","Article","EUROPEAN ECONOMIC REVIEW","The size and scope of government: Comparative politics with rational politicians","1999","APR","APR 1999","1999-04-01","43","Journal","4-6","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>We try to demonstrate how economists may engage in research on comparative politics, relating the size and composition of government spending to the political system. A Downsian model of electoral competition and forward-looking voting indicates that majoritarian - as opposed to proportional - elections increase competition between parties by focusing it into some key marginal districts. This leads to less public goods, less rents for politicians, more redistribution and larger government. A model of legislative bargaining and backward-looking voting indicates that presidential - as opposed to parliamentary - regimes increase competition between both politicians and voters. This leads to less public goods, less rents for politicians, less redistribution, and smaller government. We confront these predictions with cross-country data from around 1990, controlling for economic and social determinants of government spending. We find strong and robust support for the prediction that the size of government is smaller under presidential regimes, and weaker support for the prediction that majoritarian elections are associated with less public goods. (C) 1999 Elsevier Science B.V. All rights reserved. JEL classification: D7; E6; H1; H4.</p>"
"WOS:000080311700011","196MG","0014-2921","NULL","NULL","Article","EUROPEAN ECONOMIC REVIEW","Information from financial markets and VAR measures of monetary policy","1999","APR","APR 1999","1999-04-01","43","Journal","4-6","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>Exogenous measures of monetary policy shocks, directly derived from financial market information, are used in close (US) and open (US-Germany) economy VAR models to evaluate the robustness of the dynamic effect of monetary policy obtained from traditional identified VAR. The empirical analysis confirms the main features of the monetary policy transmission mechanism in US and Germany, explicitly addressing the issue of simultaneity between the German policy interest rate and the US dollar-DMark exchange rate. (C) 1999 Elsevier Science B.V. All rights reserved. JEL classification: E44; E52; F41.</p>"
"WOS:000080311700016","196MG","0014-2921","NULL","NULL","Article","EUROPEAN ECONOMIC REVIEW","Lower and upper bounds of returns to schooling: An exercise in IV estimation with different instruments","1999","APR","APR 1999","1999-04-01","43","Journal","4-6","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>Several recent studies based on 'exogenous' sources of variation in educational outcomes show IV estimates of returns to schooling that are substantially higher than the corresponding OLS estimates. Card (1995a, Earnings, schooling, and ability revisited. Research in Labor Economics 14, 23-48) suggests that these results are explained by the existence of heterogenity in individual returns and by the fact that these studies are based on instruments that influence only the educational decision of individuals with high marginal returns due to either liquidity constraints or to high ability. This conclusion is consistent with the local average treatment effect (LATE) interpretation of IV (Imbens and Angrist, 1994, Identification and estimation of local average treatment effects. Econometrica 62, 467-475) according to which IV identifies only the average returns of those who comply with the assignment-to-treatment mechanism implied by the instrument. We show evidence for Germany suggesting that returns to schooling are heterogeneous, instruments matter and the LATE interpretation of IV makes sense. With an appropriate choice of instruments we also show how IV can be used to approximate the range of variations of returns to schooling in Germany. (C) 1999 Elsevier Science B.V. All rights reserved. JEL classification: J31; I21, J24; C25.</p>"
"WOS:000080396900039","197ZJ","0007-6791","NULL","NULL","Book Review","BUSINESS HISTORY","Small business entrepreneurs in Asia and Europe: Towards a comparative perspective","1999","APR","APR 1999","1999-04-01","41","Journal","2","NULL","NULL","NULL","NULL","NULL","N","NULL","NULL"
"WOS:000080643300005","202GG","0927-5940","NULL","NULL","Article","INTERNATIONAL TAX AND PUBLIC FINANCE","Taxation and integrated financial markets: The challenges of derivatives and other financial innovations","1998","OCT","OCT 1998","1998-10-01","5","Journal","4","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>The past decade has witnessed the explosive growth of a multiplicity of new instruments which have altered the financial landscape. These transactions have highlighted many of the inconsistencies, asymmetries and shortcomings of current tax practices and challenged some basic tax principles. The ensuing uncertainties could over the long term place considerable strain on the tax system by increasing the opportunities for abuse and raising overall compliance costs. At the same time derivatives have provided a better understanding of the operation tax laws and from this standpoint have provided a positive input into policy design. This paper has three objectives: (a) to illustrate some of the weaknesses of the current tax system by focusing on several types of novel transaction; (b) to assess the validity of various types of adjustment proposed to tax code; (c) to draw out the implications of these developments for the ongoing debate over fundamental tax reforms and over source versus residence based taxes.</p>"
"WOS:000080830100007","205PQ","0015-7228","NULL","NULL","Article","FOREIGN POLICY","European business: New strategies, old structures","1999","SUM","SUM 1999","1999-06-01","NULL","Journal","115","NULL","NULL","NULL","NULL","NULL","Y","NULL","
<p>European corporations, enmeshed in a symbiotic relationship with national banks and the state, have traditionally disdained the aggressive, profit-maximizing behavior of their U.S. counterparts. But the pressures of globalization and economic integration are now compelling European corporations to manage with an American accent. The continent's engagement with the global economy will be mediated in large measure by the capacity of European companies to adapt their strategies and structures to the modem world.</p>"
