"UID","itemtitle","pubyear","abstract","subject"
"WOS:000072281800006","A generic grouping algorithm and its quantitative analysis","1998","
<p>This paper presents a generic method for perceptual grouping and an analysis of its expected grouping quality. The grouping method is fairly general: It may be used for the grouping of various types of data features, and to incorporate different grouping cues operating over feature sets of different sizes. The proposed method is divided into two parts: constructing a graph representation of the available perceptual grouping evidence, and then finding the ""best"" partition of the graph into groups. The first stage includes a cue enhancement procedure, which integrates the information available from multifeature cues into very reliable bifeature cues. Both stages are implemented using known statistical tools such as Wald's SPRT algorithm and the Maximum Likelihood criterion. The accompanying theoretical analysis of this grouping criterion quantifies intuitive expectations and predicts that the expected grouping quality increases with cue reliability. It also shows that investing more computational effort in the grouping algorithm leads to better grouping results. This analysis, which quantifies the grouping power of the Maximum Likelihood criterion, is independent of the grouping domain. To our best knowledge, such an analysis of a grouping process is given here for the first time. Three grouping algorithms, in three different domains, are synthesized as instances of the generic method. They demonstrate the applicability and generality of this grouping method.</p>","Computer Science, Artificial Intelligence"
"WOS:000072281800006","A generic grouping algorithm and its quantitative analysis","1998","
<p>This paper presents a generic method for perceptual grouping and an analysis of its expected grouping quality. The grouping method is fairly general: It may be used for the grouping of various types of data features, and to incorporate different grouping cues operating over feature sets of different sizes. The proposed method is divided into two parts: constructing a graph representation of the available perceptual grouping evidence, and then finding the ""best"" partition of the graph into groups. The first stage includes a cue enhancement procedure, which integrates the information available from multifeature cues into very reliable bifeature cues. Both stages are implemented using known statistical tools such as Wald's SPRT algorithm and the Maximum Likelihood criterion. The accompanying theoretical analysis of this grouping criterion quantifies intuitive expectations and predicts that the expected grouping quality increases with cue reliability. It also shows that investing more computational effort in the grouping algorithm leads to better grouping results. This analysis, which quantifies the grouping power of the Maximum Likelihood criterion, is independent of the grouping domain. To our best knowledge, such an analysis of a grouping process is given here for the first time. Three grouping algorithms, in three different domains, are synthesized as instances of the generic method. They demonstrate the applicability and generality of this grouping method.</p>","Computer Science"
"WOS:000077612600059","COMPaS: A Pentium Pro PC-based SMP cluster and its experience","1998","
<p>We have built an eight node SMP cluster called COMPaS (Cluster Of Multi-Processor Systems), each node of which is a quad-processor Pentium Pro PC. We have designed and implemented a remote memory based user-level communication layer which provides low-overhead and high bandwidth using Myrinet. We designed a hybrid programming model in order to take advantage of locality in each SMP node. Intra-node computations utilize a multi-threaded programming style (Solaris threads) and inter-node programming is based on message passing and remote memory operations. In this paper we report on this hybrid shared memory/distributed memory programming on COMPaS and its preliminary evaluation. The performance of COMPaS is affected by data size and access patterns, and the proportion of inter-node communication. If the data size is small enough to all fit on the cache, parallel efficiency exceeds 1.0 using the hybrid programming model on COMPaS. But the performance is limited by the low memory bus bandwidth of PC-based SMP nodes for some memory intensive workloads.</p>","Computer Science, Theory & Methods"
"WOS:000077612600059","COMPaS: A Pentium Pro PC-based SMP cluster and its experience","1998","
<p>We have built an eight node SMP cluster called COMPaS (Cluster Of Multi-Processor Systems), each node of which is a quad-processor Pentium Pro PC. We have designed and implemented a remote memory based user-level communication layer which provides low-overhead and high bandwidth using Myrinet. We designed a hybrid programming model in order to take advantage of locality in each SMP node. Intra-node computations utilize a multi-threaded programming style (Solaris threads) and inter-node programming is based on message passing and remote memory operations. In this paper we report on this hybrid shared memory/distributed memory programming on COMPaS and its preliminary evaluation. The performance of COMPaS is affected by data size and access patterns, and the proportion of inter-node communication. If the data size is small enough to all fit on the cache, parallel efficiency exceeds 1.0 using the hybrid programming model on COMPaS. But the performance is limited by the low memory bus bandwidth of PC-based SMP nodes for some memory intensive workloads.</p>","Computer Science"
"WOS:000076599400007","Algebraic properties of multiple-valued module systems and their applications to current-mode CMOS circuits","1998","
<p>The paper presents the concepts of pseudoprime and modulo correlativity and establishes the relationships among completeness of module operations, uniqueness of solution of equations, invertibility of a square matrix, and correlativity of vectors in multiple-valued modulo system. It is shown that current-mode CMOS circuits are easy to design and economical using bounded operations.</p>","Computer Science, Hardware & Architecture"
"WOS:000076599400007","Algebraic properties of multiple-valued module systems and their applications to current-mode CMOS circuits","1998","
<p>The paper presents the concepts of pseudoprime and modulo correlativity and establishes the relationships among completeness of module operations, uniqueness of solution of equations, invertibility of a square matrix, and correlativity of vectors in multiple-valued modulo system. It is shown that current-mode CMOS circuits are easy to design and economical using bounded operations.</p>","Computer Science, Theory & Methods"
"WOS:000076599400007","Algebraic properties of multiple-valued module systems and their applications to current-mode CMOS circuits","1998","
<p>The paper presents the concepts of pseudoprime and modulo correlativity and establishes the relationships among completeness of module operations, uniqueness of solution of equations, invertibility of a square matrix, and correlativity of vectors in multiple-valued modulo system. It is shown that current-mode CMOS circuits are easy to design and economical using bounded operations.</p>","Computer Science"
"WOS:000082316200005","Self-evolution in a constructive binary string system","1998","
<p>We examine the qualitative dynamics of a catalytic self-organizing system of binary strings that is inspired by the chemical information processing metaphor. A string is interpreted in two different ways: either (a) as raw data or (b) as a machine that is able to process another string as data in order to produce a third one. This article focuses on the phenomena of evolution whose appearance is notable because no explicit mutation, recombination, or artificial selection operators are introduced. We call the system self-evolving because every variation is performed by the objects themselves in their machine form.</p>","Computer Science, Artificial Intelligence"
"WOS:000082316200005","Self-evolution in a constructive binary string system","1998","
<p>We examine the qualitative dynamics of a catalytic self-organizing system of binary strings that is inspired by the chemical information processing metaphor. A string is interpreted in two different ways: either (a) as raw data or (b) as a machine that is able to process another string as data in order to produce a third one. This article focuses on the phenomena of evolution whose appearance is notable because no explicit mutation, recombination, or artificial selection operators are introduced. We call the system self-evolving because every variation is performed by the objects themselves in their machine form.</p>","Computer Science, Theory & Methods"
"WOS:000082316200005","Self-evolution in a constructive binary string system","1998","
<p>We examine the qualitative dynamics of a catalytic self-organizing system of binary strings that is inspired by the chemical information processing metaphor. A string is interpreted in two different ways: either (a) as raw data or (b) as a machine that is able to process another string as data in order to produce a third one. This article focuses on the phenomena of evolution whose appearance is notable because no explicit mutation, recombination, or artificial selection operators are introduced. We call the system self-evolving because every variation is performed by the objects themselves in their machine form.</p>","Computer Science"
"WOS:000075882500010","A criterion to enforce correctness of indirectly cooperating applications","1998","
<p>Cooperative applications are expected to become commonplace in the future. We are concerned hen with a special case of cooperation called indirect cooperation. The idea of the paper is that a Concurrency Control approach better fits to indirect cooperation than a Concurrent Programming one. In other words, there do exist syntactic correctness criteria which define a large sphere of security in which application programmers are released from the burden of interaction explicit programming. This paper argues this point of view and describes such a criterion: the COO-serializability. It applies for a class of applications which cooperate indirectly. (C) 1998 Elsevier Science Inc. All rights reserved.</p>","Computer Science, Information Systems"
"WOS:000075882500010","A criterion to enforce correctness of indirectly cooperating applications","1998","
<p>Cooperative applications are expected to become commonplace in the future. We are concerned hen with a special case of cooperation called indirect cooperation. The idea of the paper is that a Concurrency Control approach better fits to indirect cooperation than a Concurrent Programming one. In other words, there do exist syntactic correctness criteria which define a large sphere of security in which application programmers are released from the burden of interaction explicit programming. This paper argues this point of view and describes such a criterion: the COO-serializability. It applies for a class of applications which cooperate indirectly. (C) 1998 Elsevier Science Inc. All rights reserved.</p>","Computer Science"
"WOS:000074376500011","Properties of support vector machines","1998","
<p>Support vector machines (SVMs) perform pattern recognition between two point classes by finding a decision surface determined by certain points of the training set, termed support vectors (SV). This surface, which in some feature space of possibly infinite dimension can be regarded as a hyperplane, is obtained from the solution of a problem of quadratic programming that depends on a regularization parameter. In this article, we study some mathematical properties of support vectors and show that the decision surface can be written as the sum of two orthogonal terms, the first depending on only the margin vectors (which are SVs lying on the margin), the second proportional to the regularization parameter. For almost all values of the parameter, this enables us to predict how the decision surface varies for small parameter changes. In the special but important case of feature space of finite dimension m, we also show that there are at most m + 1 margin vectors and observe that m + 1 SVs are usually sufficient to determine the decision surface fully. For relatively small m,this latter result leads to a consistent reduction of the SV number.</p>","Computer Science, Artificial Intelligence"
"WOS:000074376500011","Properties of support vector machines","1998","
<p>Support vector machines (SVMs) perform pattern recognition between two point classes by finding a decision surface determined by certain points of the training set, termed support vectors (SV). This surface, which in some feature space of possibly infinite dimension can be regarded as a hyperplane, is obtained from the solution of a problem of quadratic programming that depends on a regularization parameter. In this article, we study some mathematical properties of support vectors and show that the decision surface can be written as the sum of two orthogonal terms, the first depending on only the margin vectors (which are SVs lying on the margin), the second proportional to the regularization parameter. For almost all values of the parameter, this enables us to predict how the decision surface varies for small parameter changes. In the special but important case of feature space of finite dimension m, we also show that there are at most m + 1 margin vectors and observe that m + 1 SVs are usually sufficient to determine the decision surface fully. For relatively small m,this latter result leads to a consistent reduction of the SV number.</p>","Computer Science"
"WOS:000076459600006","Backwards analysis of the Karger-Klein-Tarjan algorithm for minimum spanning trees","1998","
<p>This note gives a short proof of a sampling lemma used by Karger, Klein, and Tajan in the analysis of their randomized linear-time algorithm for minimum spanning trees. (C) 1998 Published by Elsevier Science B.V. All rights reserved.</p>","Computer Science, Information Systems"
"WOS:000076459600006","Backwards analysis of the Karger-Klein-Tarjan algorithm for minimum spanning trees","1998","
<p>This note gives a short proof of a sampling lemma used by Karger, Klein, and Tajan in the analysis of their randomized linear-time algorithm for minimum spanning trees. (C) 1998 Published by Elsevier Science B.V. All rights reserved.</p>","Computer Science"
"WOS:000082774400076","Power of cooperation and multihead finite systems","1998","
<p>We consider systems of finite automats performing together computation on an input string. Each automaton has its own read head that moves independently of the Ether heads, but the automats cooperate in making state transitions. Computational power of such devices depends on the number of states of automata, the number of automate, and the way they cooperate. We concentrate our attention an the last issue. The first situation that we consider is that each automaton has a full knowledge on the states of all automata (multihead automata). The other extreme is that each automaton (called also a processor) has no knowledge of the states of other automata; merely, there is a central processing unit that may ""freeze"" any automaton or let it proceed its work (so called multiprocessor automata). The second model seems to be severely restricted, but we show that multihead and multiprocessor automata have similar computational power. Nevertheless, we show a separation result.</p>","Computer Science, Software Engineering"
"WOS:000082774400076","Power of cooperation and multihead finite systems","1998","
<p>We consider systems of finite automats performing together computation on an input string. Each automaton has its own read head that moves independently of the Ether heads, but the automats cooperate in making state transitions. Computational power of such devices depends on the number of states of automata, the number of automate, and the way they cooperate. We concentrate our attention an the last issue. The first situation that we consider is that each automaton has a full knowledge on the states of all automata (multihead automata). The other extreme is that each automaton (called also a processor) has no knowledge of the states of other automata; merely, there is a central processing unit that may ""freeze"" any automaton or let it proceed its work (so called multiprocessor automata). The second model seems to be severely restricted, but we show that multihead and multiprocessor automata have similar computational power. Nevertheless, we show a separation result.</p>","Computer Science"
"WOS:000072557900002","Interpolation models with multiple hyperparameters","1998","
<p>A traditional interpolation model is characterized by the choice of regularizer applied to the interpolant, and the choice of noise model. Typically, the regularizer has a single regularization constant a, and the noise model has a single parameter beta. The ratio alpha/beta alone is responsible. for determining globally all these attributes of the interpolant: its `complexity', 'flexibility', `smoothness', `characteristic scale length', and `characteristic amplitude'. We suggest that interpolation models should be able to capture more than just one flavour of simplicity and complexity. We describe Bayesian models in which the interpolant has a smoothness that varies spatially. We emphasize the importance, in practical implementation, of the concept of `conditional convexity' when designing models with many hyperparameters. We apply the new models to the interpolation of neuronal spike data and demonstrate a substantial improvement in generalization error. 0960-3174 1998 (C) Chapman & Hall.</p>","Computer Science, Theory & Methods"
"WOS:000072557900002","Interpolation models with multiple hyperparameters","1998","
<p>A traditional interpolation model is characterized by the choice of regularizer applied to the interpolant, and the choice of noise model. Typically, the regularizer has a single regularization constant a, and the noise model has a single parameter beta. The ratio alpha/beta alone is responsible. for determining globally all these attributes of the interpolant: its `complexity', 'flexibility', `smoothness', `characteristic scale length', and `characteristic amplitude'. We suggest that interpolation models should be able to capture more than just one flavour of simplicity and complexity. We describe Bayesian models in which the interpolant has a smoothness that varies spatially. We emphasize the importance, in practical implementation, of the concept of `conditional convexity' when designing models with many hyperparameters. We apply the new models to the interpolation of neuronal spike data and demonstrate a substantial improvement in generalization error. 0960-3174 1998 (C) Chapman & Hall.</p>","Computer Science"
"WOS:000079049400001","Protecting IT systems from cyber crime","1998","
<p>Large-scale commercial, industrial and financial operations are becoming ever more interdependent, and ever more dependent on IT. At the same time, the rapidly growing interconnectivity of IT systems, and the convergence of their technology towards industry-standard hardware and software components and sub-systems, renders these IT systems increasingly vulnerable to malicious attack. This paper is aimed particularly at readers concerned with major systems employed in medium to large commercial or industrial enterprises. It examines the nature and significance of the various potential attacks, and surveys the defence options available, It concludes that IT owners need to think of the threat in more global terms, and to give a new focus and priority to their defence. Prompt action can ensure a major improvement in IT resilience at a modest marginal cost, both in terms of finance and in terms of normal IT operation.</p>","Computer Science, Hardware & Architecture"
"WOS:000079049400001","Protecting IT systems from cyber crime","1998","
<p>Large-scale commercial, industrial and financial operations are becoming ever more interdependent, and ever more dependent on IT. At the same time, the rapidly growing interconnectivity of IT systems, and the convergence of their technology towards industry-standard hardware and software components and sub-systems, renders these IT systems increasingly vulnerable to malicious attack. This paper is aimed particularly at readers concerned with major systems employed in medium to large commercial or industrial enterprises. It examines the nature and significance of the various potential attacks, and surveys the defence options available, It concludes that IT owners need to think of the threat in more global terms, and to give a new focus and priority to their defence. Prompt action can ensure a major improvement in IT resilience at a modest marginal cost, both in terms of finance and in terms of normal IT operation.</p>","Computer Science, Information Systems"
"WOS:000079049400001","Protecting IT systems from cyber crime","1998","
<p>Large-scale commercial, industrial and financial operations are becoming ever more interdependent, and ever more dependent on IT. At the same time, the rapidly growing interconnectivity of IT systems, and the convergence of their technology towards industry-standard hardware and software components and sub-systems, renders these IT systems increasingly vulnerable to malicious attack. This paper is aimed particularly at readers concerned with major systems employed in medium to large commercial or industrial enterprises. It examines the nature and significance of the various potential attacks, and surveys the defence options available, It concludes that IT owners need to think of the threat in more global terms, and to give a new focus and priority to their defence. Prompt action can ensure a major improvement in IT resilience at a modest marginal cost, both in terms of finance and in terms of normal IT operation.</p>","Computer Science, Software Engineering"
"WOS:000079049400001","Protecting IT systems from cyber crime","1998","
<p>Large-scale commercial, industrial and financial operations are becoming ever more interdependent, and ever more dependent on IT. At the same time, the rapidly growing interconnectivity of IT systems, and the convergence of their technology towards industry-standard hardware and software components and sub-systems, renders these IT systems increasingly vulnerable to malicious attack. This paper is aimed particularly at readers concerned with major systems employed in medium to large commercial or industrial enterprises. It examines the nature and significance of the various potential attacks, and surveys the defence options available, It concludes that IT owners need to think of the threat in more global terms, and to give a new focus and priority to their defence. Prompt action can ensure a major improvement in IT resilience at a modest marginal cost, both in terms of finance and in terms of normal IT operation.</p>","Computer Science, Theory & Methods"
"WOS:000079049400001","Protecting IT systems from cyber crime","1998","
<p>Large-scale commercial, industrial and financial operations are becoming ever more interdependent, and ever more dependent on IT. At the same time, the rapidly growing interconnectivity of IT systems, and the convergence of their technology towards industry-standard hardware and software components and sub-systems, renders these IT systems increasingly vulnerable to malicious attack. This paper is aimed particularly at readers concerned with major systems employed in medium to large commercial or industrial enterprises. It examines the nature and significance of the various potential attacks, and surveys the defence options available, It concludes that IT owners need to think of the threat in more global terms, and to give a new focus and priority to their defence. Prompt action can ensure a major improvement in IT resilience at a modest marginal cost, both in terms of finance and in terms of normal IT operation.</p>","Computer Science"
"WOS:000083174200022","Integral uniform flows in symmetric networks - (Extended abstract)","1998","
<p>We study the integral uniform (multicommodity) flow problem in a graph G and construct a fractional solution whose properties are invariant under the action of the automorphism group Aut(G) of G. The fractional solution is shown to be close to an integral solution (depending on properties of Aut(G)), and in particular becomes an integral solution for a class of graphs containing Cayley graphs. As an application we estimate asymptotically (up to error terms) the edge congestion of an optimal integral uniform flow (edge forwarding index) in the cube connected cycles and the butterfly.</p>","Computer Science, Theory & Methods"
"WOS:000083174200022","Integral uniform flows in symmetric networks - (Extended abstract)","1998","
<p>We study the integral uniform (multicommodity) flow problem in a graph G and construct a fractional solution whose properties are invariant under the action of the automorphism group Aut(G) of G. The fractional solution is shown to be close to an integral solution (depending on properties of Aut(G)), and in particular becomes an integral solution for a class of graphs containing Cayley graphs. As an application we estimate asymptotically (up to error terms) the edge congestion of an optimal integral uniform flow (edge forwarding index) in the cube connected cycles and the butterfly.</p>","Computer Science"
"WOS:000077563200015","The timeless way: Making living cooperative buildings with design patterns","1998","
<p>Interfaces to information systems, and the buildings in which such systems are embedded will typically be the result of the work of a large number of different disciplines, potentially ranging from ethnographers to architects. A common language and conceptual framework has the potential for greatly enhancing the effectiveness and ease of cross-disciplinary communication. In this paper we describe some aspects of the notion of design patterns developed by architect Christopher Alexander and colleagues in the 1970's. We briefly show how Alexander-style patterns can be used for analysis and design in some of the disciplines implicated in the creation of successful cooperative buildings - interface design, ergonomic design, functionality design and office design and suggest that pattern languages might be a way of bridging the communication gaps between professions to produce a shared vision of the cooperative building project.</p>","Computer Science, Cybernetics"
"WOS:000077563200015","The timeless way: Making living cooperative buildings with design patterns","1998","
<p>Interfaces to information systems, and the buildings in which such systems are embedded will typically be the result of the work of a large number of different disciplines, potentially ranging from ethnographers to architects. A common language and conceptual framework has the potential for greatly enhancing the effectiveness and ease of cross-disciplinary communication. In this paper we describe some aspects of the notion of design patterns developed by architect Christopher Alexander and colleagues in the 1970's. We briefly show how Alexander-style patterns can be used for analysis and design in some of the disciplines implicated in the creation of successful cooperative buildings - interface design, ergonomic design, functionality design and office design and suggest that pattern languages might be a way of bridging the communication gaps between professions to produce a shared vision of the cooperative building project.</p>","Computer Science, Theory & Methods"
"WOS:000077563200015","The timeless way: Making living cooperative buildings with design patterns","1998","
<p>Interfaces to information systems, and the buildings in which such systems are embedded will typically be the result of the work of a large number of different disciplines, potentially ranging from ethnographers to architects. A common language and conceptual framework has the potential for greatly enhancing the effectiveness and ease of cross-disciplinary communication. In this paper we describe some aspects of the notion of design patterns developed by architect Christopher Alexander and colleagues in the 1970's. We briefly show how Alexander-style patterns can be used for analysis and design in some of the disciplines implicated in the creation of successful cooperative buildings - interface design, ergonomic design, functionality design and office design and suggest that pattern languages might be a way of bridging the communication gaps between professions to produce a shared vision of the cooperative building project.</p>","Computer Science"
"WOS:000082776000055","Comparison of implicit and explicit parallel programming models for a finite element simulation algorithm","1998","
<p>In this paper we compare efficiency of two versions of a parallel algorithm for finite element compressible fluid flow simulations on unstructured grids. The first version is based on the explicit model of parallel programming (with message-passing paradigm), while the second incorporates the implicit model (in which data-parallel programming is used). Time discretization of the compressible Euler equations is organized with a linear, implicit version of the Taylor-Galerkin time scheme, while finite elements are employed for space discretization of one step problems. The resulting nonsymmetric system of linear equations is solved iteratively with the preconditioned GMRES method.</p>
<p>The algorithm has been tested on HP Exemplar SPP1600 computer using a benchmark problem of 2D inviscid how simulations - the ramp problem.</p>","Computer Science, Theory & Methods"
"WOS:000082776000055","Comparison of implicit and explicit parallel programming models for a finite element simulation algorithm","1998","
<p>In this paper we compare efficiency of two versions of a parallel algorithm for finite element compressible fluid flow simulations on unstructured grids. The first version is based on the explicit model of parallel programming (with message-passing paradigm), while the second incorporates the implicit model (in which data-parallel programming is used). Time discretization of the compressible Euler equations is organized with a linear, implicit version of the Taylor-Galerkin time scheme, while finite elements are employed for space discretization of one step problems. The resulting nonsymmetric system of linear equations is solved iteratively with the preconditioned GMRES method.</p>
<p>The algorithm has been tested on HP Exemplar SPP1600 computer using a benchmark problem of 2D inviscid how simulations - the ramp problem.</p>","Computer Science"
"WOS:000078325700003","Ensuring consistency in multidatabases by preserving two-level serializability","1998","
<p>The concept of serializability has been the traditionally accepted correctness criterion in database systems. However in multidatabase systems (MDBSs), ensuring global serializability is a difficult task. The difficulty arises due to the heterogeneity of the concurrency control protocols used by the participating local database management systems (DBMSs), and the desire to preserve the autonomy of the local DBMSs. In general, solutions to the global serializability problem result in executions with a low degree of concurrency. The alternative, relaxed serializability, may result in data inconsistency.</p>
<p>In this article, we introduce a systematic approach to relaxing the serializability requirement in MDBS environments. Our approach exploits the structure of the integrity constraints and the nature of transaction programs to ensure consistency without requiring executions to be serializable. We develop a simple yet powerful classification of MDBSs based on the nature of integrity constraints and transaction programs. For each of the identified models we show how consistency can be preserved by ensuring that executions are two-level serializable (2LSR). 2LSR is a correctness criterion for MDBS environments weaker than serializability. What makes our approach interesting is that unlike global serializability, ensuring 2LSR in MDBS environments is relatively simple and protocols to ensure 2LSR permit a high degree of concurrency. Furthermore, we believe the range of models we consider cover many practical MDBS environments to which the results of this article can be applied to preserve database consistency.</p>","Computer Science, Information Systems"
