EARLIEST_FILING_YEAR,APPLN_ABSTRACT,PSN_NAME,IPC4
2001,"Gemäß diesem Verfahren sind parallel verschiedene Katalysatorproben (bei 20) vorhanden und werden diese verschiedenen Proben nacheinander nach transienten-kinetischen Methoden getestet, wobei auch eine diesbezügliche Vorrichtung beschrieben wird. <IMAGE>","AMTEC - ANWENDUNGSZENTRUM FUER MIKROTECHNOLOGIEN CHEMNITZ","G01N"
2001,"The present invention is related to garments with cupwires which have a hingepin provided at the front center portion of the garments, and inner ends of a left and right cupwire 3a, 3b thereof are rotatably attached to the hingepin 1. A good fit is provided for each breast due to the rotation of the cupwires, regardless of differences in the shape and size of one breast with respect to the other. <IMAGE>","UTAX","A41C"
2001,"The invention relates to a device for placing at least one elongate element, such as a drainage wick, in a ground, comprising: a frame displaceable over the ground and having thereon a mast which is upright at least during use; a lance which is movable reciprocally with a drive relative to the mast forming a guide therefor, and which comprises in the longitudinal direction thereof a passage for receiving therein the elongate element at least during a downward movement of the lance, and for feed there through of the elongate element during an upward movement of the lance; and engaging means in the passage close to lower end of the lance during use which co-displace an element for placing in the downward movement of the lance. <IMAGE>","VAN DER MEER, PIETER","E02D"
2001,"Low pressure gas discharge lamp comprises a gas discharge vessel having a gas filling containing mercury; electrodes (2); devices for igniting and maintaining a gas discharge; and a coating made from a UV-C luminescent material (4) and which is excited by UV-C radiation. Preferably the UV-C luminescent material contains an activator selected from Pb<2+>, Bi<3+> and Pr<3+> in a matrix lattice. The UV-C luminescent material is selected from YPO4, Bi and LuPO4: Bi.","PHILIPS INTELLECTUAL PROPERTY & STANDARDS","H01J"
2001,"A gain control method for reducing or eliminating the undesirable effects of acoustic echo coupling between a speaker and a microphone while providing a full-duplex connection. Weighted normalized far-end and near-end powers are used to first calculate a suppression value which is used to determine the attenuation factor between an upper and a lower limit, thus improving reliability in noisy environments. To further improve the quality of the full-duplex connection, a smoothing factor is applied to the attenuation calculation to provide a low power and constant sounding echo without annoying transient-like sounds. <IMAGE>","AVAYA TECHNOLOGY CORPORATION","H04M"
2001,"Has a data processing system which determines from memorized data and user provided data types of color results which can be achieved. It also advises the user of products or groups of products chosen from a repertoire of products as a function of the color results which can be achieved and of the type of color result wanted. Console (1) which provides personalized advice about hair coloring at a point of sale. The console includes a display (2); a data processor (10) designed to control the displays different messages and/or images; an input system (2) allowing input of data to the data processor; a data collector which collects data concerning the users natural hair color and amount of gray/white hair; the data processor has access to memorized data concerning color characteristics of a group of products which can be reported to the user.","L'OREAL","A45D"
2001,"Mud and sand are prevented from entering between support-receiving members since both ends of the roller shaft are constructed so as to be held at both sides thereof when providing the upper roller on the travelling body frame secured in a civil engineering apparatus. The first and second support receiving members 19, 20 are constructed so that the members respectively support both end portions of the roller shaft 17a of the upper roller 17 on the upper part of the track frame 11 and cross frame 12 on the travelling body frame 10 secured at the lower part of the civil engineering apparatus, wherein the roller supporting portions 19a, 20b and a pair of coupling pieces 19a, 20a for coupling the roller supporting portions 19b, 20b to the travelling body frame 10 are formed to be substantially reverse U-shaped. <IMAGE>","SHIN CATERPILLAR MITSUBISHI","B62D"
2002,"Optical arrangement, e.g. a microscope, for observation of a sample or object has a light source and a receiver device for detection of light back scattered from the object. Said arrangement comprises a concave mirror (6, 16) aligned with a beam splitter, the splitting surface (3, 15) of which is divided into transmitting and reflecting surfaces. Light from the illumination source is incident on beam splitter, reflected from it back to the concave mirror and then focussed by the mirror onto the transmitting region so that light is incident on the sample. Light is then transmitted back to a detector (17). An evaluation unit can be used on the input size to adjust the detector and on its output size to adjust the focal length of a concave mirror.","CARL ZEISS MICROIMAGING","G02B"
1999,"The cylinder (2,3) has at least two ducts (12,13,14) one behind each other in a peripheral direction and taking second casings (9,11) on the cylinder. At least one of the ducts is at least partly covered by a second casing. The cylinder is a form or transfer cylinder with the second casing in the form of a printing plate,","KBA (KOENIG & BAUER AG)","B41F"
2002,"Device for connecting a network of pipes located in a roadway to a distribution conduit, comprising an assembly of a container with upright walls and a cover fitting thereon, provided with at least two openings through which an outer end of a pipe of the pipe network can be fed in each case in order to connect this outer end to a distribution pipe which can be received in the container, wherein for each distribution pipe at least one distribution opening is arranged in the assembly which can be connected to the outer end of the distribution pipe, wherein the recesses are arranged at the position of the connection between the upright walls and the cover. <??>Arranging of the recesses at the position of the connection between the upright walls and the cover ensures that the pipe ends can be readily guided into the container, since sufficient clearance is possible. When a pipe end protrudes for instance slightly obliquely through the opening, there is sufficient clearance to realize the connection to the distribution pipe. <IMAGE>","H.A. PRINCE BEHEER BERGEN OP ZOOM","E01C"
2003,"This invention intends to provide a coiled carrying article pallet, which is suited for transporting small quantities of varied types of articles, which can easily, deliberately, efficiently transporting a coiled carrying article to a transport receptacle without damaging the coiled transport article, which can transport the coiled carrying article with transport cost being held down, and which can improve space efficiency for storage, and the like. The pallet P1 is a coiled carrying article pallet P1 contained in a transport receptacle (container A) while loading the coiled carrying article C, the pallet P1 including a pallet main body 1, and a stack support means 5, provided on the pallet main body, for vertically stacking and supporting another pallet P1, and the pallet main body 1 includes a mount section 3 on which the axial end face of the carrying article can be mounted, and an abutment section 2 provided on an outer peripheral side of the mount section and arranging a plurality of carrying articles in a zigzag fashion. <IMAGE>","TOYOTA STEEL CENTER COMPANY","B65D"
2002,"Disclosed is a method for producing a catalyst for removing nitrogen oxides which comprises dispersing a hydrated titanium (Ti) oxide or dried material thereof, tungstic acid or a salt thereof, and cerium (Ce) dioxide in a dispersion medium to form a sol-like material, mixing the sol-like material with an aqueous medium to form a catalyst slurry or paste, supporting the catalyst slurry or paste on a catalyst carrier, and then calcinating the carrier; in which catalyst the Ce dioxide is prevented from being embedded in the Ti oxide to realize such a high degree of dispersion of the Ce dioxide on the surface of the Ti oxide as comparable with the case wherein cerium ions are dispersed in micro voids of a zeolite by ion exchange; and the catalyst is free from the occurrence of such phenomena as sintering of the Ti oxide, and deterioration of zeolite with steam when a zeolite is used as carrier. <IMAGE>","BABCOCK HITACHI","B01J"
2002,"A system and a method of suppressing outstanding degradation of decoded audio quality due to a transmission error of audio coded data are provided without feedback information from a receiver, thereby reducing the increase of the number of necessary transmission bands and the arithmetic complexity on the receiving side. A code conversion and transmission apparatus 100 for inputting audio coded data includes first to N-th code conversion and transmission units 102 and 104 to 106 for converting audio data to N pieces of coded data, and transmitting the data at predetermined or adaptively variable time intervals to M transmission lines 130. The second to N-th audio code conversion and transmission units 104 to 106 codes a frame at a compression rate equal to or higher than the rate of input coded data. The code conversion and reception apparatus 120 selects a transmission line using a selection unit 107, and selecting data from correctly received coded data in a frame or packet unit, thereby reconfiguring the coded data using a coded data reconfiguration unit 112. <IMAGE>","NEC CORPORATION","H04J"
2004,"A bench has castors (8) allowing movement in the room, between connections. Flexible connecting lines permit coupling with a system of supplies.","WALDNER LABOR- UND SCHULEINRICHTUNGEN","B01L"
2003,"Biocompatible carrier for tissue and cell culture and for producing implants comprises a base material (1) electrostatically flocked with fibers (3). Independent claims are also included for: (1) multilayer carrier comprising at least two carriers as above bonded or stacked together and/or with interpenetrating fiber layers; (2) implant comprising a carrier as above; (3) production of a tissue or cell culture or implant by electrostatically flocking a base material and incubating the resulting carrier with cells until the carrier is colonized with cells and an extracellular matrix is formed; (4) production of implant material by electrostatically flocking a base material and incubating the resulting carrier with cells until the carrier is colonized with cells and an extracellular matrix is formed and then removing the base material.","TECHNISCHE UNIVERSITAET DRESDEN","C12N"
1999,"Aluminum-silicon alloy coating production on aluminum or aluminum alloy involves applying an alkali metal fluorosilicate, namely potassium and/or cesium fluorosilicate, and heating. Independent claims are also included for the following: (i) an aluminum or aluminum alloy component coated with an aluminum-silicon alloy by the above process; (ii) a method of joining aluminum or aluminum alloy components by carrying out the above process and brazing optionally with soldering flux addition; and (iii) a mixture comprising 99.5-85 wt.% alkali metal fluorosilicate and 0.5-15 wt.% alkali metal fluoroaluminate.","SOLVAY FLUOR","B23K"
2004,"The invention relates to the registration of ultrasound image data of an object and of three-dimensional second image data, e.g. from Computed Tomography (CT) or Magnetic Resonance Imaging (MR) of the object. It is proposed to support a manual registration by an automatic process. Reference information defining a reference location (36b) in the ultrasound image (33) are used, wherein the reference location (36b) is located on a surface of the object or is located at a defined distance to the surface of the object when the ultrasound detector generates the ultrasound image data. At least one surface point (36a) on the surface (34) of the object or at a defined distance to the surface (34) is identified in the second image (31). The ultrasound image data and the second image data are aligned with respect to one registration direction using the reference information and using information concerning a location of the surface point (36a) in the second image (31).","MEDCOM GESELLSCHAFT FUER MEDIZINISCHE BILDVERARBEITUNG","G06T"
2003,"A rotating tool (11) with a cylindrical shaft (12) is secured by a shrink-grip with a chuck (13, 14) having a conical socket for the shaft insert (30). The insert (30) is presented to the hot chuck (13). On cooling the chuck clamps the tool shaft.","BILZ WERKZEUGFABRIK & COMPANY","B23Q"
2003,"The invention provides a particle-optical device for irradiating an object with a beam of particles. The device comprises a housing in which are located positioning means 1 for positioning the object within the housing. The positioning means comprise a reference body 2 supported against a supporting portion of the housing and a kinematic system - which can be manipulated - with an object carrier 9 for manipulating the object held in the object carrier in at least one degree of freedom with respect to the reference body 2, the device further comprising control means and at least one combination 23,30 of a piezo-electric position actuator 25 and a piezo-electric force sensor 35, which actuator and sensor are positioned in series, whereby the control means - in dependence upon at least one input signal from at least one sensor - generates a control signal for at least that actuator associated with said sensor, characterized in that the series-positioned actuators and sensors of said at least one combination are positioned between the housing and the reference body, the support of the reference body against the supporting portion of the housing occurring via said at least one combination. <IMAGE>","FEI COMPANY","H01J"
2003,"A cellular telephone including a function of a so-called videophone continuously transmits image data obtained by forming an image with a camera together with voice data obtained by inputting a voice by use of a microphone. During connection of a communication unit through a communication path, a character composition circuit combines character data with the image data to obtain composite data. This composite data is transmitted by the communication unit during connection of the communication path. <??>During connection of the communication path, the character data is combined with the image data to obtain the composite data. Thus, it is no longer necessary to transmit the character data through a different channel. Moreover, during connection of the communication path, the character data in the composite data relevant to the contents of the talk, for example, can be displayed on a display. Thus, the contents of the talk (information) can be quickly and accurately transmitted. <IMAGE>","NEC CORPORATION","H04N"
2003,"Cosmetic powder comprises 1-9 wt.% finely divided hydrophobic silica with a BET surface area of 180-280 m 2>/g and an average particle size of 5-30 nm, 20-95 wt.% water and 0.1-20 wt.% of a hydrophilic humectant and has a silica:water ratio of 1:11-30. The powder contains no oil, water-soluble polymers (polyvinylpyrrolidone, polyvinyl acetate, acrylic or urethane polymers) or hydrocolloids. An independent claim is also included for production of the powder by premixing the water with the humectant and other liquid ingredients, mixing the premix with the silica with a mechanical mixer at 1000-3000 rpm for 3-15 minutes, and adding powder ingredients to the product.","COTY","A61K"
2003,"The device has a shock absorber (3) with an essentially cylindrical housing (1) and a pneumatic spring (4) with a working chamber (6) under internal pressure with an additional volume (7) that can be connected to the working chamber via a closable flow channel (8). The additional volume is enclosed by a hollow body (9) around the shock absorber formed from an outer cylinder (10) and a concentric inner cylinder (11) connected to it. An independent claim is also included for the following: (a) a hollow body for use in an inventive arrangement.","VOSS AUTOMOTIVE","F16F"
2003,"The assembly (10) to test the permeability of a continuous belt (11), and especially a water-absorbent press blanket in a papermaking machine, has a jet (12) to deliver a measurement fluid at and through the belt. A monitor (104) registers the belt movement speed and/or a monitor (19) establishes the jet stream speed and the jet pressure is recorded by a diaphragm (102) flanked by pressure sensors (100,101). The three measurements are taken simultaneously so that a deviation in one cannot affect the accuracy of the permeability test at the evaluation unit (105).","VOITH PAPER PATENT","G01N"
2004,"A member of a fleet (1a-1d) has a mobile telephone so as to reduce financial outlay for technical equipment and/or time needed by a manager. Also, the need for a human manager can be cut out. Mobile telephones can be located at any time. They report on their position (H) regularly or upon request and take on an up-to-date task (A) starting from their current position. An independent claim is also included for a device for up-to-date control of fleet assignments with a mobile telephone for each member of the fleet.","ALBER, NORBERT","G08G"
2004,"Food products are dispended via open nozzles (7) and a pressure reducing means (4a-4d) for preventing the food product dripping from the nozzles is provided in the food product supply lines (2a-2d) in a region separate from the nozzles. The pressure reducing means comprise dosing pumps. The containers (8) are filled simultaneously in a cycle with at least two different paste-consistency food products stored in separate vessels (1a-1d). A pressure generating system (3a-3d) and volume dosing system are connected to the supply lines and nozzles. Independent claims are also included for the following: (A) Multiple nozzle with individual nozzles for the simultaneous cycled dosing of two or more different paste-consistency food products which is free from closure devices in the nozzle openings; and (B) Desert product comprising different food products which are preferably differently coloured inside a container, in which at least three distinct food product phases are present adjacent to each other when the desert product is viewed in cross-section.","CAMPINA","B65B"
2005,"In order to symmetrically act on a support member (20) of a support assembly on both sides using a single Bowden cable (18), a traction cable arrangement is used with comprises the Bowden cable, a first traction wire (17), and a coupling device (16) for coupling the first traction wire (17) to the Bowden cable (18). The first traction wire (17) is fixedly attached to the coupling device (16) and extends therefrom in a first direction. The sheath of the Bowden cable (18) is fixedly attached to the coupling device (16), and the wire of the Bowden cable (18) extends from the coupling device (16) in a second direction substantially opposite to the first direction and forms a second traction wire (19). The first traction wire (17) and the second traction wire (19) are slidably held on the support member (20) and are connected to a seat frame (30) at their ends. When the wire of the Bowden cable (18) is retraced with respect to the sheath, the second traction wire (19) is shortened, the coupling device (16) is displaced in the extending direction of the second traction wire (19), whereby a tensile force is also generated in the first traction wire (17). Consequently, the first traction wire (17) and the second traction wire (19) symmetrically act on the support member (20) on both sides thereof.","L & P SWISS HOLDING COMPANY","A47C"
2004,"The metal container (1) with at least one inlet and one outlet, for conducting a medium, is provided with high-strength fibers (7) wound at least around its branching zones (3).","DEUTZ POWER SYSTEMS","F02M"
2004,"Method for cutting a digital film using an electronic data processing device has the following steps: setting of a first cutting mark for labeling the start of a film section to be cut out; setting of a second cutting mark indicating the end of the film cut section and; cutting of the film between the marks. If a second cutting mark is set and no first starting cutting mark has been set, then the first cutting mark is automatically set as the start of the film. Independent claims are also included for the following:- (A) a method for cutting a digital film in which, if no end mark is set, then the end of the film is automatically set as the second or end cutting mark and; (B) a digital film cutting device.","FUJITSU SIEMENS COMPUTERS","G11B"
2004,"Pin (10) has a rod-shaped body (12) which can conduct force (F) extended on the implant on one side (20) of the cross-section (16) and on the other opposite side (22) direct it into an anchoring spot. The cross-section which has a coarse nodular shape (18), has at least two bearing spots (24,26) via which the force can distributed.","KARL STORZ & COMPANY","A61B"
2004,"The present invention relates to a foldable sledge which comprises an elongate left and right-hand seat part (R/L), a left and right-hand slide element (6,7), at least two left-hand carriers (2,3) on which the left-hand seat part and the left-hand slide element are arranged, and at least two right-hand carriers (2,3) on which the right-hand seat part and the right-hand slide element are arranged, in addition to first hinge means for hingedly mounting the left-hand carriers on the right-hand carriers. Each of the carriers further comprises a seat carrier part, a slide element carrier part coupled to the seat carrier part using second hinge means, and a support element which is attached on one side to the seat carrier part with third hinge means and is mounted slidably on the other side on the slide element carrier part, whereby the sledge can be folded between a position of use and a stowing position. <IMAGE>","WINTERSPORT LEERDAM","B62B"
2004,"Effluent installation comprises a dam element (8) with an active dam surface arranged in the elongation of an intermediate wall (1). The dam element protrudes in its largest extension up to screw helix (3) and a sieve (4). An independent claim is also included for a process for operating a dam element of an effluent installation. Preferred Features: The active dam surface can be changed in height by lifting or lowering. The dam element is able to pivot about a horizontal or vertical axis (9). The dam element is arranged on the intermediate wall.","HANS HUBER AG MASCHINEN- UND ANLAGENBAU","E03F"
2004,"The method involves using a load grasping device (1) divided into two connected sections (2,3). The first section is attached to the lifting apparatus side, and the second section is attached to the load side. The two sections are moved relative to each other, as required, so that the second section (3) continuously maintains the correct relative position with respect to the load (21) when grasping and setting down the load. An independent claim is included for a load grasping apparatus.","RACHINGER, REINHOLD","B66C"
2004,"The covering comprises woven layers joined by connecting threads. In each connecting point or repeating connection unit, at least one connection is irregularly-arranged relative to the others. A variety of patterns having departures from regularity is described. A connecting point or unit may e.g. depart from or be offset from, a regular diagonal line of connections. Successive sets of connections on diagonal lines, may be inclined at differing angles. Up to 20%, 30%, 50% and most especially 70% of the connections in repeating units, do not follow a regular pattern. The smallest repeating unit is formed by 24, 26, 28, 30, 40 or more warp threads. At most 5 or 7 connecting threads are used. The connecting threads run in the warp and/or weft direction. The woven pattern formed on the paper side, is advanced by weaving the connecting threads with the warps or wefts on that side. The paper-side weave is a base weave or drain, preferably a canvas weave. Connecting threads are arranged in pairs.","VOITH PATENT","D21F"
2004,"A curtain coater for applying liquid to paste-like media (especially aqueous pigment suspensions) to a running sheet of paper, cardboard etc. has, in addition to an air boundary layer-abatement device on the coating side, another such device on the other side of the sheet near the point of impact of the curtain. A device for applying a liquid to paste-like medium, especially an aqueous pigment suspension (I), to one side of a running sheet of paper, cardboard or other fibrous material during its production and/or finishing. This comprises a curtain applicator (5) by means of which (I) is delivered directly onto the coating side (1a) of the sheet (1) in a free-falling, closed curtain (6) under the action of gravity, with the curtain impinging at a point (P) on an open section of sheet or on a part supporting the other side (1b) of the sheet, and with a device (2) for weakening or removing the air boundary layer, which is dedicated to the coating side (1a) and installed in the running direction (L) in front of the curtain (6). The system also has another air boundary layer abatement device (10) for air boundary layers (LG) flowing with the fibrous sheet (1), which is located on the other side (1b) of the sheet near the impact position (P) of the curtain (6).","VOITH PATENT","D21H"
2004,"A method for reading data stored in a multiple bit memory cell, the memory cell comprising a switch located within an array of switches arranged in columns and rows, each switch having a control node and first and second switched nodes between which the flow of current is dependent on the voltage applied to the control node, wherein each row has a word line connected to the control nodes of the switches of that row, each column comprises only one switch from each row, and each column has first, second and third bit lines connectable to one of the switched nodes of each switch of that column to define the stored data, the method comprising: fixing the voltage of the second bit line of the switch and reading data from the first and third bit lines, and subsequently: fixing the voltage of the first bit line of the switch and reading data from the second and third bit lines.","CAMBRIDGE SILICON RADIO","G11C"
2004,"A method of generating an aggregate frame having a header unit, which carries MAC-header information applicable to one or more data units of said aggregate frame. Since each data unit of the aggregate frame no longer needs to carry the full MAC-header information, the overhead associated with the MAC header can be significantly reduced. At the receiver, the full MAC header corresponding to the data unit is reconstructed by (i) matching the appropriate header and data units to one another and (ii) combining the information present in the header unit and the compressed header portion of the data unit. Embodiments of the present invention are capable of improving the data throughput, for example, in an entertainment network having paired source and destination devices (e.g., a DVD player and an LCD screen) with a relatively large amount of data streamed from the former to the latter.","AGERE SYSTEMS","H04L"
2004,"The installation has tool holders (3-5) permitting simultaneous fixation of two saw blades (6), on a vertical axis of a jig-saw. A suction branch sucks sawdust and dust, and a blower evacuates the dust. The blades are positioned at cutting depth obtained by adjusting height of a sole plate by its holder (11) that is maintained by clamping a bolt axle (14) that moves in orifices of a holder (10) fixed on chassis of the jig-saw by screws.","OSTOJ FRANCOIS","B28D"
2005,"The projector takes pictures and evaluates an object (6) using topometric measurement procedure and using projection patterns projected to the object. The projector includes a lighting unit (4) and projection patterns provided on a carrier (1). The projection patterns are formed in repeating geometrical structures on the carrier. The carrier can be moved or shifted to move the projection patterns in the selected lighting range within the light path (7) between the lighting unit and object.","GOM GESELLSCHAFT FUR OPTISCHE MESSTECHNIK","G01B"
2005,"A twin-screw extruder (1) equipped with a vacuum degassing arrangement, e.g. below 5 mbar (10, 11, 12, 13), is fed (7) with polymer containing a nucleating agent. A high pressure, e.g. 70 to 300 bar, is then generated by a subsequent gear pump (16) which supplies a static mixer (17) where a blowing gas, e.g. nitrogen or carbon dioxide, is injected (21) in a supercritical state. This is followed by a second gear pump (22) to feed the extrusion nozzle (23).","COPERION","B29C"
2005,"The combination has a sensor (1) accommodated in a flush mounted socket, and connected with a bus system (5) of a building by using a bus coupler (4). The sensor includes a set of operating or display units (3), and connected with other sensors (2-n) by using a wireless interface. The coupler is arranged on a single printed circuit board (7) accommodating electronic functional components of the sensor (1), and one of the sensors (2-n) is fastened to the bus system by using the coupler.","INSTA ELEKTRO","H02G"
2006,"The device has a microwave applicator (10) with an opening (13) for bringing a product to be measured in reciprocal effect with a microwave field. A set of resonator coaxial cables (21, 37, 38) is connected with a resonator cavity (12) of the microwave applicator in a microwave conducting manner, where the resonant microwave field is partially formed in the resonator coaxial cables. The resonator coaxial cables and the resonator cavity form a ring resonator (27).","AMS ADVANCED MICROWAVE SYSTEMS","G01N"
2005,"Device has supporting element with an upward projecting profile part (5) with cross running carrier element (4) covering first horizontal section (8) and second vertical fixing section (9). The profile part is fastened to the carrier element over the adjusted first horizontal fixing section. The profile part is connectable with a connecting part (10) on the inner side held at the vehicle body (2) over the second vertical fixing section.","PORSCHE","B62D"
2005,"Cationically equipped textile material (I), preferably in the form of cloth or rag, comprises textile fabric (A) from textile fiber, which has permanent cationic finishing and where (I) is partially knitted.","KORNBUSCH & STARTING & COMPANY","D06M"
2005,"The reporting process involves measuring the temperature-dependent resistance of the compressor coil, setting a coil temperature on this basis using an electronic control device, and setting a coil temperature model producing the required dependence of the coil temperature on the ambient temperature (t KU) surrounding the compressor.","WESTINGHOUSE AIR BRAKE COMPANY","F04B"
2005,"Internal combustion engine (1) has oil-conveying device (4) which is an exhaust pump for a bearing house (50) of a exhaust-gas turbocharger (5) or a compressor of the internal-combustion engine. The oil recycle piping (3) is attached to the bearing house or under bypass of the bearing house on a suction side of the exhaust pump.","HENGST& COMPANY","F01M"
2005,"The set (100) has a compressor (102), a combustion chamber (103) and a turbine (104), which are arranged along a flow path (101). A starting device (120) is provided for starting the turbo set, and comprises a steam generator (121) for the generation of steam which is under an overpressure. The starting device comprises a supply line (125), which is connected to the steam generator at one of its ends. The supply line fans out into the flow path of the turbo set at its other end. An independent claim is also included for a method for starting a turbo set with a compressor.","ALSTOM TECHNOLOGY","F01D"
2006,"The method involves positioning an application-specific integrated circuit with a hall sensor, which is arranged for detecting a magnetic flux density parallel to a surface of the integrated circuit. An angle of rotation of magnets is measured by the application-specific integrated circuit with the hall sensor. Electric signals are output according to the angle of rotation of the magnets. The integrated circuit is attached to a viewing glass, which is arranged for mounting and/or assembling at the measuring device. Independent claims are also included for the following: (1) a remote transmitter for an analog measuring device (2) a measuring device comprising an angle of a rotation transmitter.","WIKA ALEXANDER WIEGAND & COMPANY","G01D"
