"APPLN_AUTH","APPLN_ID","EARLIEST_FILING_YEAR","APPLN_ABSTRACT","IPC4","PSN_NAME"
"EP",376,2007,"The arrangement (1) has a solar module (2) comprising support layers (6, 7) with photovoltaic cells (3), where the support layers are arranged on top of each other. The support layers are galvanically separated from each other. The photovoltaic cells are laterally displaced against each other such that the cells partially cover an intermediate space (5) between the cells of the layers in a free manner. The cells are electrically connected with each other by conducting paths (4), and support elements are made of plastic and glass pane.","H01L","BAUMGARTNER, SIEGFRIED"
"EP",377,2008,"The method involves determining a condition-relevant value to determine a logical condition of a signal (S2) i.e. current signal, of a communication unit (2) e.g. subscriber identity module (SIM) card, where the condition is present during a high-state of another signal (S1) i.e. voltage signal, of another communication unit (1) i.e. mobile phone's controller. The value is present at a condition-relevant sampling time point lying directly before the beginning of a falling edge of the signal (S1) and/or a condition-relevant sampling time interval lying directly before the beginning of the edge. An independent claim is also included for a device for detecting a digital signal i.e. single wire protocol (SWP) signal, that is transmitted between two communication units over a single wire connection, comprising an evaluator.","H04L","COMPRION"
"EP",434,2007,"The mascara formulation comprises styrene or acrylate copolymers with a glass transition temperature of smaller or equal 20[deg] C. The styrene or acrylate copolymer has a concentration 0.1-25 wt.% relative to the total weight of the formulation. Single or multiple waxes with a melting point of 66-88[deg] C are also provided. The wax is selected from rice wax, sunflower wax, candellila wax, carnauba wax, shellac wax.","A61K","BEIERSDORF"
"EP",471,2007,"The method involves attaching a quasi-bus to an electronic control unit (ECU) for controlling a personal protection system, where the quasi-bus has sensors (S1, S2, SN) e.g. radar, only for unidirectional synchronous transmission of data to the control unit. The data in control unit are transmitted in respective time slots when the sensors are operated. A fault indicating image is detected by the control unit based on the received data. A restart of the quasi-bus is executed by the control unit based on the image, and the last sensor (SN) at the quasi-bus is separated from operation. Independent claims are also included for the following: (1) a controller for controlling a personal protection system (2) a device for transmission of data from sensors to a controller over a quasi-bus to control a personal protection system.","H04L","ROBERT BOSCH"
"EP",497,2007,"The body cleaning preparation comprises 1.8 wt.% of amphoteric or zwitterionic surfactant, 1.0 wt.% of sodium cocoyl glutamate and a cross-linked copolymer of methacrylic acid and 1-4C-alkyl acrylate. The amount of the surfactant is 6.0-25 wt.%, preferably 8.0-20 wt.%, particularly 12-16 wt.% and the body cleaning preparation is in the form of emulsion. The copolymer is cross linked by using 0.03-1.0 wt.% of multiple ethylenic unsaturated cross-linking agents. Oils in the form of natural triglycerides, fatty alcohol ethoxylates and polysaccharide are also provided.","A61K","BEIERSDORF"
"EP",518,2007,"The method involves recording a temperature (T) and a pressure (p) of a medium in a piping section (1) by a sensor in a constant manner. A displacement or a twist of a wall section of the piping section is measured. The temperature, pressure and displacement or twist value corresponding signals of data processing device are entered and stored.","G01N","STEAG ENERGY SERVICES"
"EP",569,2008,"The method involves automatically providing a disposable test field (44) in successive measuring cycles using a control device (16) at a hand-held analysis appliance. Each measuring cycle is triggered by starting actuation during measuring operation of the control device. The control device is shifted by defined control intervention into maintenance operation mode in which the automatic provision of the test field is prevented. Start of the measuring cycle is blocked by the starting actuation in the maintenance operation mode. An independent claim is also included for a hand-held analysis appliance for analyzing body fluid.","G01N","ROCHE"
"EP",572,2007,"The device has a housing comprising a telemetry unit (58) connected with a controller (54) for wireless signal transmission to an external device, which is provided in proximity of a patient. A position sensor (60), an impedance sensor (70), a pH-value sensor (78), a temperature sensor (79) and an ultrasonic sensor (82) are connected with the controller. The sensors are formed for detecting tissue characteristics of body tissues surrounding the housing for a tissue state after implantation of the device. The controller is formed to process sensor output signals of the sensors.","A61B","BIOTRONIK CRM PATENT"
"EP",574,2008,"The medical instrument such as endoscope is inserted into the vascular system of patient (5) so as to form a path partially inside the vascular system. The position of the instrument head is calculated from structural data of vascular system, length data and the relative position between a reference point and the vascular system. The instrument is guided towards the reference point, using the length data representing the length of the path between the reference point and the instrument head. Independent claims are included for the following: (1) storage medium storing program for ascertaining position of head of medical instrument in vascular system; (2) device for ascertaining position of head of medical instrument in vascular system; and (3) operation system.","A61B","BRAINLAB"
"EP",584,2002,"The method has a request (5) for a user identification authorization provided by the user (1) transmitted to an identification module (2) via a short message service, with generation of an action code (6) by the identification module, transmitted to both the user and a third party terminal (3), e.g. a supermarket, an entrance lock, a bank, or an election authority. Also included are Independent claims for the following: (a) an application of a terminal user identification authorization method for E-banking; (b) a polling method using terminal user identification authorization; (c) a polling system using mobile terminal user identification authorization; (d) a mobile terminal allowing user identification authorization; (e) an identification module for mobile terminal user identification authorization; (f) a polling terminal; (g) a software program for mobile terminal user identification authorization.","H04L","MODULATEC"
"EP",589,2002,"8-(3-amino-piperidin-1-yl)-xanthine derivatives (I) are new. 8-(3-amino-piperidin-1-yl)-xanthine derivatives of formula (I) and their tautomers, enantiomers, diastereomers (or mixtures), prodrugs and salts are new. [Image] R 1> : CH 2Q 1>, CH 2CH 2OMe, CH 2CH 2OPh, CH 2CH 2CN, CH 2COPh or CHMeCOPh, phenylcarbonylmethyl mono-substituted in the ring by Q 2> or phenylcarbonylmethyl substituted in the ring by two OMe groups or on two adjacent C-atoms by OCH 2O, OCH 2CH 2O or N(Me)COO; Q 1> : CONMe 2, heterocycle or heteroaryl (optionally substituted); Q 2> : NH 2, NHCH 2CN, NHCOMe, NHCOEt, NHCOCHMe 2, NHCOOMe, NHCONHCOOEt, 2-oxo-imidazolin-1-yl, COOH, COMe, COOEt, CONH 2, CONHMe, CONMe 2, morpholinocarbonyl, SMe, SOMe, SO 2Me, OCH 2COOH, OCH 2COOEt, OCH 2COOCHMe 2, OCH 2CONH 2, OCH 2CONHMe, OCH 2CONHEt, OCH 2CONHCHMe 2, OCH 2CONMe 2, pyrrolidinocarbonyl-methoxy, morpholinocarbonyl-methoxy, OCHMeCOOEt, OCHMeCONH 2 or OCH 2SOMe; R 2> : Me, CHMe 2 or Ph, and R 3> : CH 2C(Me)=CH 2, CH 2C(Cl)=CH 2, CH 2CH=CHBr, CH 2CH=CHMe, CH 2C(Me)=CMe 2, CH 2CCMe, 1-cyclopenten-1-ylmethyl or 2-furanylmethyl. An independent claim is included for the preparation of (I). ACTIVITY : Antidiabetic; Antiarthritic; Anorectic; Immunosuppressive; Osteopathic; Ophthalmological; Nephrotropic; Neuroprotective; Antiarteriosclerosis; Tranquilizer; Cardiant; Diuretic; Hypotensive; Antiinflammatory; Antiulcer; Antiinfertility; Antirheumatic; Antithyroid; Virucide; Anti-HIV; Cytostatic; Nootropic; Cerebroprotective; Antiparkinsonian; Antimigraine; Antianemic; Dermatological; Antipsoriatic; Antidepressant. MECHANISM OF ACTION : Dipeptidylpeptidase-IV (DPP-IV) inhibitor; B-cell degeneration inhibitor; glucagon-like peptide (GLP) action modulator. 1-((Quinazolin-2-yl)-methyl)-3-methyl-7-(2-butyn-1-yl)-8-((R)-3-amino-piperidin-1-yl)-xanthine (Ia) had an IC 50 value of 1 nM for inhibition of DPP-IV.","C07D","BOEHRINGER INGELHEIM PHARMA & COMPANY"
"EP",618,2008,"Method for reconditioning microbiologically produced ergot alkaloids of 7-methyl-4,6,6a,7,8,9,10,10a-octahydro-indolo[4,3-fg]quinoline-9-carboxylic acid (I), comprises extracting the fermentation product containing (I) occurring during the biological production at a pH of 8-14 using an extractant with a solubility in water of 0.2-25 g/100 g water at 20[deg] C, where the amount of extractant is sufficient to form a 2-phase system together with the fermentation product. Independent claims are included for: (1) paspalic acid, preferably paspalic acid crystals having 2-1000, preferably 5-700 ppm of an extractant comprising n-butanol, sec-butyl alcohol or ethyl formate; and (2) lysergic acid, preferably lysergic acid crystals having 2-1000, preferably 5-700 ppm of extractant comprising n-butanol, sec-butyl alcohol or ethyl formate.","C07D","SANDOZ"
"EP",623,2007,"Emulsifier-system (A) contains ester modified organopolysiloxane compounds (I). Emulsifier-system (A) contains ester modified organopolysiloxane compounds of formula (R 2>-Si(R 1>) 2-O-[Si(R 1>) 2-O] a-[Si(R 1>)(R 3>)-O] b-[Si(R 1>)(R 4>)-O] c-[Si(R 1>)(R 5>)-O] d-[Si(R 1>)(R 6>)-O] e-[Si(R 6>) 2-O] f-Si(R 1>) 2-(R 2>)) (I). R 1>optionally saturated and branched 1-30C alkyl, 7-30C alkaryl or 6-30C aryl; R 3>ester group of formula (-CH 2-[CH 2] m-CH 2-[O-CH 2-[CH(OR 8>)] p-CH 2] n-OR 7>); either a : 1-230; and b, c : 1-100; and d : 0-50; and e, f : 0-10; or a+b+c+d+e+f+2 : 20-250; m : 1-4; n, p : 0 or 1; R 7>monobasic acyl residue (optionally saturated) or 6-30C fatty acid; R 8>H or R 7>; R 4>(CH 2) 3-O-[CH 2-C(Y 1>)(Z)-CH 2] q-OH; q : 1-20; Y 1>, Z : H, OH, CH 3, CH 2CH 3or CH 2OH, where at least one or Y 1>, Z is OH or CH 2OH; R 5>optionally saturated and branched 1-30C alkyl or 7-30C alkaryl; R 6>siloxane group of formula (-O-[Si(R 1>) 2-O] a-[Si(R 1>)(R 3>)-O] b-[Si(R 1>)(R 4>)-O] c-[Si(R 1>)(R 5>)-O] d-[Si(R 1>)(R 6>)-O] e-[Si(R 6>) 2-O] f-Si(R 1>) 2-(R 2>)); and R 2>R 1>, R 3>, R 4>or R 5>.","A61K","EVONIK GOLDSCHMIDT"
"EP",636,2008,"The method involves connecting solar cells (30) e.g. polycrystalline solar cells, by longitudinal connectors (31) and transverse connectors (33) before a lamination step. The connectors are placed in a solar panel (1) to be laminated in such a manner that the connectors are completely laminated within the panel after the lamination step. A contact region (35) of one of the connectors (33) is exposed after the lamination step, where a layer covering the solar cells is completely punched through in a region, by stripping. The contact region is contacted by externally-accessible contact elements. Independent claims are also included for the following: (1) a method for producing a solar cell (2) a system for producing a laminated solar panel, comprising a station.","H01L","3S SWISS SOLAR SYSTEMS"
"EP",647,2008,"The photovoltaic module has a core layer with a solar cell system (22) having an optically active side and a rear side arranged in embedding compounds (20,24). An encapsulating layer (E1) is arranged on the optically active side of the solar cell system, and another encapsulating layer (E2) on the rear side of the solar cell system. The embedding compound connects the solar cell system to both encapsulating layers. A barrier layer (14) is arranged on the rear side of the solar cell system facing away the side of another encapsulating layer.","H01L","ALCAN TECHNOLOGY & MANAGEMENT"
"EP",649,2007,"The method involves connecting a load (51) to a supply network (61). Control positions of a control element (60) of domestic equipments selected by a user are registered and acquired by a central control unit (53) and are stored as a scene. A scene-type activation status of the load is monitored by an activity detector. The scene-type activation status of the monitored load is assigned to the stored scene. The control positions are automatically retrieved during detection of the activation status, and the control element of the domestic equipments are controlled.","H04L","ADHOCO"
"EP",679,1985,"Conjugates are described in which the active ingredient is covalently bonded to the anchoring membrane, which is a compound of the formulae <IMAGE> in which A can be: sulphur, oxygen, disulphide (-S-S-), methylene (-CH2-) or -NH-; n = 0 to 5; m = 1 or 2; C* = an asymmetric carbon atom of R or S configuration, R, R' and R'' are identical or different and are an alkyl, alkenyl or alkynyl group having 7 to 25 carbon atoms or are hydrogen which can optionally be substituted by hydroxyl, amino, oxo, acyl, alkyl or cycloalkyl groups and R1 and R2 are identical or different and are defined as R, R' or R'' or can be -OR, -OCOR, -COOR, -NHCOR or -CONHR and X is an active ingredient or a spacer active ingredient group. The anchoring membrane active ingredient conjugates increase antibody formation.","G01N","HOECHST"
"EP",689,1985,"The subject-matter of the invention are 3(2H)-Pyridazinone derivatives of the general formula <CHEM> wherein R stands for an ethyl or propyl group substituted by a terminal halogen atom or hydroxyl group or a terminal group of the formula <CHEM> in which latter R1 represents a hydrogen atom or an optionally substituted benzyl group and R2 represents a hydrogen atom or an optionally substituted benzoÄ1,4Üdioxan-2-yl-methyl or benzoÄ1,4Üdioxan-2-yl-ethyl group or a group of the formula <CHEM> in which latter n is 2 or 3 and R3 stands for an optionally substituted phenoxy or phenylthio group and X stands for a hydrogen or halogen atom or an optionally substituted saturated or unsaturated 5- or 6-membered heterocyclic group. Furthermore the subject-matter of the invention are a process and intermediates for preparing these compounds and medicaments containing them and/or other 3(2H)-pyridazinone derivatives. The compounds according to the invention inhibit the adrenergic alpha1 receptors, have a calcium-antagonistic effect and exert blood pressure lowering action.","C07D","RICHTER GEDEON VEGYESZETI GYAR"
"EP",719,1986,"New substituted derivatives of 1,2,6-triphenyl-4(1H)-pyridinone and pyridinethione are now provided, which are useful as fungicidal agents having valuable and improved fungicidal activities against a variety of phyto-pathogenic microorganisms, especially fungi and which show low toxicity to animals, including humans. These new compounds may be produced by different processes.","C07D","KUMIAI CHEMICAL INDUSTRY COMPANY"
"EP",741,1992,"The analyser has a transport device for transporting cuvettes to at least one processing station for processing the analytical samples held in the cuvettes. The processing stations have means (4) for taking individual cuvettes from the transport device (2), for moving the cuvettes into a processing position and for replacing the cuvettes, after they have been processed, onto the transport device. <IMAGE>","G01N","ROCHE"
"EP",765,1996,"Novel sulphur-containing phthalocyanines claimed for use in IR absorption are of formula (I), optionally with both N-bonded H replaced by Cu, Ni, vanadyl, Mg, AlCl or Zn.A = a group of formula (IA) or (IB); B and C = rings optionally substituted by 1-4C alkyl or alkoxy, NO2, hydroxy- sulphonyl or benzoyl or optionally condensed with a benzene ring; and R = H or methyl.","C07D","BASF (BADISCHE ANILIN & SODA FABRIK)"
"EP",769,1997,"In a multi-chip module ('MCM') (200) and methods of operation and manufacture thereof, the MCM includes: (1) a substrate (210) for supporting a plurality of separate integrated circuit (IC) chips (111, 121) thereon, (2) first and second separate IC chips (111, 121) mounted on the substrate, the first separate IC chip including first (112) and second (114, 115) circuit portions coupled together by at least one signal conductor (113), and (3) interconnecting means (230) that directly couples at least one signal conductor of the first separate IC chip to the second separate IC chip, the interconnecting means bypassing the second circuit portion (114, 115) of the first separate IC chip. <IMAGE>","H01L","LUCENT TECHNOLOGIES"
"EP",770,1998,"Radioactive composition for use in the therapy of neoplastic and non-neoplastic diseases by means of the application of radioactive sources in direct contact with the tumor tissues or within the same, and for use as an aid in radio-guided surgery, containing radioisotopes immobilized on biocompatible or bioabsorbable solid particles. The said solid particles are incorporated in a biocompatible and bioabsorbable matrix consisting of a hypotonic gel containing, in water, from 2 to 30% by weight of polyvinylpyvrrolidone and from 0.01 to 2% by weight of agar-agar or agarose. The invention also concerns a radiopharmaceutical kit or a kit for use in radio-guided surgery comprising, as separate components, the single constituents of the above composition.","A61K","ENTE PER LE NUOVE TECNOLOGIE, L'ENERGIA E L'AMBIENTE (ENEA)"
"EP",808,2007,"The instrument has a receiver tray for receiving a lancet supply belt (5) with several lancets (6), which are arranged transverse to a longitudinal direction of the lancet supply belt, and include lancet tip for producing puncture wound. A bending device (10) bends a section of the lancet supply belt in a longitudinal direction of the lancet supply belt, and separates the lancet tip of the lancet for puncture from the lancet supply belt. An independent claim is also included for a method for separating the lancet tip from the lancet supply belt.","A61B","ROCHE DIAGNOSTICS"
"EP",810,2007,"The medical sound sensor comprises a sensor housing (22) with an opening (24), which is overstretched by a flexible diaphragm (26). A bar-shaped vibration element (36) is provided for converting mechanical vibrations of the diaphragm into electrical signals based on a piezoelectric base and is formed as unimorph bar. The diaphragm is connected with a retaining element (34), which carries the vibration element. An independent claim is also included for a diagnosing method for diagnosing cardiac sounds or pulmonary sounds or vibrations using medical sound sensor.","A61B","ENVERDIS"
"EP",812,2007,"The tool (1) has a body (2) connected with a tool support (4) of a drive device. The body has a recess (5) in which a projection (10) is received. The projection projects from an interior surface of the body. A tongue (15) is spaced axially from the recess and points towards an outer end of the body. The tongue enters into an opening of a wall in the support, during pushing of the body in the support directly before impinging of the body in a stopper (7). The stopper locks the body in the support against axial displacement.","A61B","REINHARD FEINMECHANIK"
"EP",814,2007,"The instrument has two bearing arms (13, 14) elastically bendable apart from each other and arranged in parallel at a distal end of an elongated tubular shaft (2) in a distance. A tool i.e. cutting blade (17, 18), is supported around a rotational axis running transverse to a longitudinal axis of the tubular shaft. A tube shaped casing (26) i.e. plastic tube, overlaps the arms and the tubular shaft, where a distance of outer surfaces (23, 24) of the arms decreases from the tubular shaft to free ends of the arms. The outer surfaces are designed in a cone shaped shell type.","A61B","AESCULAP & COMPANY"
"EP",816,2007,"The container (1) has a lower part (9) with a base (2) and side walls (3, 6), and a cover (10) lockingly attachable to and detachable from the part. A pack template is provided to indicate a surgical or medical instrument and its position in the container. The template is arranged at an inner side of the cover, and extends over the entire surface of the cover, where a representation of the instrument on the template includes different colors. The instrument is held by a holder fixed at the walls, and the lower part is inserted in a defined position in the cover after separation of the base.","A61B","AESCULAP & COMPANY"
"EP",830,2007,"Product for dyeing or lightening keratin fibers comprises an acrylic acid derivative (I). Product for dyeing or lightening keratin fibers comprises an acrylic acid derivative of formula (I). R'RC=CR'-CO-X-Y-Z (I) X : O or NR 1>; Y = functionalized alkyl; Z : a chromophore; R, R', R', R 1>H, (poly)hydroxyalkyl, 1-6C acyl or optionally substituted aryl, 1-6C alkyl or 2-6C alkenyl.","A61K","HENKEL"
"EP",832,2007,"Composition (I), comprises an extract of liquorice root and oak bark in combination with dexpanthenol. ACTIVITY : Dermatological; Virucide; Anti-inflammatory; Antidiarrheic; Antitussive; Antiulcer; Gastrointestinal.Gen. MECHANISM OF ACTION : None given.","A61K","GESKE, GUNDULA"
