"address_id_se","full_address","country"
133,"1 002 KATZ GRP CTR PHARM & HLTH RES, FAC MED & DENT, EDMONTON, AB T6G 2E1, CANADA","CANADA"
134,"1 052 LI KA SHING CTR HLTH INNOVAT, PROGRAM PREGNANCY & POSTPARTUM HLTH, EDMONTON, AB, CANADA","CANADA"
135,"1 1 IT SOLUT, BERLIN, GERMANY","GERMANY"
136,"1 1 PSYCHOL COUNSELLING, BEDFORD, ENGLAND","ENGLAND"
137,"1 1 TOYOHASHI UNIV TECHNOL, TOYOHASHI, AICHI 4418580, JAPAN","JAPAN"
138,"1 10 MED ASSOCIATES, SAN ANTONIO, TX USA","USA"
139,"1 1000 BED DEF SERV GEN HOSP, MINGALADON, YANGON, MYANMAR","MYANMAR"
140,"1 1000 BEDDED DEF SERV GEN HOSP, MINGALADON, YANGON, MYANMAR","MYANMAR"
141,"1 11 FAC INGN, NATL RES CTR INTEGRATED NAT DISASTER MANAGEMENT C, CONCEPCION, CHILE","CHILE"
142,"1 12 INST INVEST, MADRID, SPAIN","SPAIN"
143,"1 145 AVIAT REGIMENT SERE DETACHMENT, FORT RUCKER, AL 36362 USA","USA"
144,"1 15 1 KITASATO UNIV, SCH MED, DEPT DERMATOL, SAGAMIHARA, KANAGAWA, JAPAN","JAPAN"
146,"1 25 STRYKER BRIGADE COMBAT TEAM, FT WAINWRIGHT, AK USA","USA"
25957542,"1 34-9 TAKEKURA, MISHIMA, SHIZUOKA 4110807, JAPAN","JAPAN"
147,"1 5 CAVALRY, BRIGADE 2, CAVALRY DIV 1, FT HOOD, TX 76542 USA","USA"
149,"1 7 1 KOUNODAI HOSP, INT MED CTR JAPAN, RES CTR HEPATITIS & IMMUNOL, KOUNODAI, ICHIKAWA 2728516, JAPAN","JAPAN"
151,"1 800 4 CHOCOLATE INC, BEIJING, PEOPLES R CHINA","PEOPLES R CHINA"
152,"1 AFFILIATED HOSP, DEPT CARDIOL, KUNMING MED COLL, KUNMING 650032, PEOPLES R CHINA","PEOPLES R CHINA"
154,"1 AFFILIATED HOSP, KUNMING MED COLL, DEPT CARDIOL, KUNMING 650032, YUNNAN, PEOPLES R CHINA","PEOPLES R CHINA"
156,"1 AIX MARSEILLE UNIV, EA PUBL HLTH CHRON DIS & QUAL LIFE RES UNIT 3279, F-13005 MARSEILLE, FRANCE","FRANCE"
157,"1 ALLERGY & CLIN RES CTR, CENTENNIAL, CO 80112 USA","USA"
158,"1 AMGEN CTR DR, DEPT PHARMACOKINET & DRUG METAB, THOUSAND OAKS, CA 91320 USA","USA"
25960099,"1 AMGEN CTR DR, THOUSAND OAKS, CA 91320 USA","USA"
159,"1 ANDREJ MIHEVC KARST RES INST ZRC SAZU, TITOV TRG 2, POSTOJNA 6230, SLOVENIA","SLOVENIA"
25960265,"1 ANGLIYSKY AVE, ST PETERSBURG 190121, RUSSIA","RUSSIA"
160,"1 AOU CAREGGI, DEPT EXPT & CLIN MED, FLORENCE, ITALY","ITALY"
161,"1 ARGONNE NATL LAB, ARGONNE, IL 60439 USA","USA"
25957117,"1 ASTON ST, TOOWONG, QLD 4066, AUSTRALIA","AUSTRALIA"
25956577,"1 AT&T WAY, BEDMINSTER, NJ 07921 USA","USA"
25959721,"1 ATWELL ST, ST AUGUSTINE, TRINID & TOBAGO","TRINID & TOBAGO"
25958558,"1 AVE 6 JUIN,1945, F-14000 CAEN, FRANCE","FRANCE"
25954718,"1 AVE 6-JUIN, F-14000 CAEN, FRANCE","FRANCE"
25956061,"1 AVE ALBERT EINSTEIN, F-69100 PARIS, FRANCE","FRANCE"
25958352,"1 AVE RANGUEIL, F-31400 TOULOUSE, FRANCE","FRANCE"
162,"1 AZRIELI CTR, IBM SYST & TECHNOL GRP, IL-67021 TEL AVIV, ISRAEL","ISRAEL"
25951947,"1 BAILEY MEWS,AUCKLAND RD, CAMBRIDGE CB5 8DR, ENGLAND","ENGLAND"
25961715,"1 BAILIFFS COTTAGE, SITTINGBOURNE ME9 0JU, KENT, ENGLAND","ENGLAND"
25950403,"1 BAKER ST,3B, SAN FRANCISCO, CA 94117 USA","USA"
25959689,"1 BAYLOR PLAZA, HOUSTON, TX 77030 USA","USA"
25952002,"1 BAYLOR PLAZA, HOUSTON, TX USA","USA"
25957559,"1 BAYLOR PLAZA,MS 390, BAYLOR PLAZA, MS 77030 USA","USA"
25960580,"1 BAYLOR PLAZA,SUITE 310D, HOUSTON, TX 77030 USA","USA"
25951563,"1 BEACH DR SE,UNIT 1805, ST PETERSBURG, FL 33701 USA","USA"
25957760,"1 BEICHEN WEST RD, BEIJING 100101, PEOPLES R CHINA","PEOPLES R CHINA"
25956647,"1 BELVOIRVIEW PK, BELFAST BT8 7BL, ANTRIM, NORTH IRELAND","NORTH IRELAND"
163,"1 BGR, HANNOVER, GERMANY","GERMANY"
164,"1 BINZHOU MED UNIV HOSP, BINGZHOU, PEOPLES R CHINA","PEOPLES R CHINA"
165,"1 BIS, RUE CHARLES DEGUY,RESIDENCE CASCADES 15, F-91230 MONTGERON, FRANCE","FRANCE"
25950979,"1 BLVD JEAN BAPTISTE LEBAS, F-59000 LILLE, FRANCE","FRANCE"
25953638,"1 BOLSHAYA YAKIMANKA ST, MOSCOW 119180, RUSSIA","RUSSIA"
25962586,"1 BRADLEY RD,SUITE 403, WOODBRIDGE, CT 06525 USA","USA"
166,"1 BRANCH CHONGQING MUNICIPAL PEOPLES PROCURATORA, CHONGQING 400016, PEOPLES R CHINA","PEOPLES R CHINA"
25959703,"1 BROOKINGS DR, ST LOUIS, MO 63130 USA","USA"
25954852,"1 BURNBRAE, EDINBURGH EH12 8UB, MIDLOTHIAN, SCOTLAND","SCOTLAND"
167,"1 C2S LEIDEN UNIV, MED CTR, DEPT RADIOL, DIV IMAGE PROC, POB 9600, NL-2300 RC LEIDEN, NETHERLANDS","NETHERLANDS"
25962673,"1 CADDY AVE, WEST LEEDERVILLE, WA 6007, AUSTRALIA","AUSTRALIA"
172,"1 CANADIAN FIELD HOSP, CANADIAN FORCES BASE PETAWAWA, PETAWAWA, ON, CANADA","CANADA"
178,"1 CANADIAN FIELD HOSP, CANADIAN FORCES HLTH SERV, PETAWAWA, ON, CANADA","CANADA"
174,"1 CANADIAN FIELD HOSP, DEPT NATL DEF, CANADIAN FORCES, PETAWAWA, ON, CANADA","CANADA"
176,"1 CANADIAN FIELD HOSP, HIGH READINESS DETACHMENT HALIFAX, HALIFAX, NS, CANADA","CANADA"
173,"1 CANADIAN FIELD HOSP, MAJ CANADIAN ARMED FORCES, PETAWAWA, ON, CANADA","CANADA"
170,"1 CANADIAN FIELD HOSP, MARTIN ORTHOPAED BIOMECH LAB, TORONTO, ON, CANADA","CANADA"
171,"1 CANADIAN FIELD HOSP, PETAWAWA, ON, CANADA","CANADA"
177,"1 CANADIAN FIELD HOSP, ROYAL CANADIAN MED SERV, LONDON, ON, CANADA","CANADA"
179,"1 CANC CARE CTR SOUTH TEXAS US ONCOL, SAN ANTONIO, TX USA","USA"
180,"1 CARDIAC DEPT, KRAKOW, POLAND","POLAND"
181,"1 CARDIOL MADRID, MADRID, SPAIN","SPAIN"
182,"1 CATTEDRA OFTALMOL, NAPLES, ITALY","ITALY"
183,"1 CAYZER COURT, STIRLING, SCOTLAND","SCOTLAND"
184,"1 CENT HOSP BAO DING CITY, DEPT NEUROL, BAODING, HEBEI, PEOPLES R CHINA","PEOPLES R CHINA"
187,"1 CENT HOSP BAODING CITY, BAODING CITY, PEOPLES R CHINA","PEOPLES R CHINA"
185,"1 CENT HOSP BAODING CITY, BAODING, PEOPLES R CHINA","PEOPLES R CHINA"
186,"1 CENT HOSP BAODING CITY, DEPT ENDOCRINOL, BAODING 071000, PEOPLES R CHINA","PEOPLES R CHINA"
25958454,"1 CHANG TEH ST, TAIPEI 10048, TAIWAN","TAIWAN"
188,"1 CHARLES UNIV, DEPT ORAL MAXILLOFACIAL SURG, PRAGUE 12000, CZECH REPUBLIC","CZECH REPUBLIC"
25953798,"1 CHEMIN PEIROULET, F-30700 UZES, FRANCE","FRANCE"
25958179,"1 CHEMIN PETITS PRES, F-36260 LA FERTE, REUILLY, FRANCE","FRANCE"
25961454,"1 CHEMIN TONY GARNIER, F-69120 VAULX EN VELIN, FRANCE","FRANCE"
25956121,"1 CHESTNUT ST, PROVIDENCE, RI 02903 USA","USA"
25958221,"1 CHIDDENBROOK COTTAGES, CREDITON, ENGLAND","ENGLAND"
25958189,"1 CHIDDENBROOK COTTS, CREDITON, DEVON, ENGLAND","ENGLAND"
189,"1 CHU TROUSSEAU, SERV ORTHOPEDIE TRAUMATOL, F-37044 TOURS, FRANCE","FRANCE"
25958845,"1 CHUNGDAE RO, CHEONGJU 28644, CHUNGBUK, SOUTH KOREA","SOUTH KOREA"
25953275,"1 CHURCH ST,7TH FLOOR,SUITE 701, NEW HAVEN, CT 06511 USA","USA"
25961453,"1 CHURCH ST,SUITE 200, NEW HAVEN, CT 06510 USA","USA"
190,"1 CIAT INT CTR TROP AGR, CALI 6713, COLOMBIA","COLOMBIA"
191,"1 CIRCB MICROBIOL & IMMUNOL LAB, YAOUNDE, CAMEROON","CAMEROON"
192,"1 CITY CLIN HOSP, VITEBSK, BYELARUS","BYELARUS"
193,"1 CLIN CITY HOSP, DEPT TRAUMATOL ORTHOPAED, MOSCOW, RUSSIA","RUSSIA"
194,"1 CLIN GYNAECOL, MILAN, ITALY","ITALY"
195,"1 CLIN HOSP, MINSK, BYELARUS","BYELARUS"
196,"1 CLIN MED, DEPT INTERNAL MED & MED SPECIALTIES, I-00161 ROME, ITALY","ITALY"
197,"1 CLIN ORTHOPAED & TRAUMATOL, RIZZOLI ORTHOPAED INST, I-40136 BOLOGNA, ITALY","ITALY"
198,"1 CLIN OSTET GINECOL, MILAN, ITALY","ITALY"
199,"1 CLIN PEDIAT, CLIN PEDIAT DE MARCHI, I-20122 MILAN, ITALY","ITALY"
202,"1 CNRS IRD IFREMER, F-34095 MONTPELLIER, FRANCE","FRANCE"
200,"1 CNRS, UMR 7144, STN BIOL ROSCOFF, PL GEORGES TEISSIER, F-29680 ROSCOFF, FRANCE","FRANCE"
203,"1 COLL & MAIN, DEPT COMMUN, COLUMBUS, OH 43209 USA","USA"
25957837,"1 CONSERVATORIUM RD, SYDNEY, NSW 2000, AUSTRALIA","AUSTRALIA"
204,"1 CONSIGLIO NAZL RIC CNR, IVALSA IST VALORIZZAZ LEGNO & SPECIE ARBOREE, CATANIA, ITALY","ITALY"
205,"1 CONSTITUT CTR OCC 02 260L, BOSTON, MA 02129 USA","USA"
206,"1 CP PL PLLC, PLANO, TX USA","USA"
25948912,"1 CRAGWOOD RD,SUITE 3D, SOUTH PLAINFIELD, NJ 07080 USA","USA"
207,"1 CRAIGBRAE COTTAGES, AYR KA6 7EN, SCOTLAND","SCOTLAND"
25957604,"1 CRESSY RD, ALFRETON DE55 7BR, DERBY, ENGLAND","ENGLAND"
208,"1 CTR HOSP BAO DING CITY, DEPT ANESTHESIOL, BAODING 071000, HEBEI, PEOPLES R CHINA","PEOPLES R CHINA"
210,"1 CTR HOSP BAO DING CITY, DEPT CLIN LAB, BAODING 071000, HEBEI, PEOPLES R CHINA","PEOPLES R CHINA"
209,"1 CTR HOSP BAO DING CITY, DEPT ENDOCRINOL, BAODING 071000, HEBEI, PEOPLES R CHINA","PEOPLES R CHINA"
211,"1 CTR HOSP BAO DING CITY, DEPT ORTHOPED, BAODING 071000, HEBEI, PEOPLES R CHINA","PEOPLES R CHINA"
212,"1 CTR LEON BERARD, LYON, FRANCE","FRANCE"
25949153,"1 CYCLOTRON RD M-S 50A1148, BERKELEY, CA 94720 USA","USA"
25951300,"1 CYCLOTRON RD,90-4000, BERKELEY, CA 94720 USA","USA"
213,"1 DA HOSP, DEPT PATHOL, KAOHSIUNG, TAIWAN","TAIWAN"
214,"1 DAHILIYE KLIN, SB ISTANBUL EGITIM & ARASTIRMA HASTANESI, ISTANBUL, TURKEY","TURKEY"
25959273,"1 DAHUA RD, BEIJING 100730, PEOPLES R CHINA","PEOPLES R CHINA"
25956751,"1 DAI CO VIET ST, HANOI, VIETNAM","VIETNAM"
25955775,"1 DAI CO VIET, HANOI, VIETNAM","VIETNAM"
215,"1 DAQING WELL LOGGING CO, DIGITAL INTERPRETAT CTR, DAQING 163000, PEOPLES R CHINA","PEOPLES R CHINA"
219,"1 DECEMBER 1918 UNIV ALBA IULIA, ALBA IULIA, ROMANIA","ROMANIA"
220,"1 DECEMBER 1918 UNIV ALBA IULIA, FAC HIST & LETTERS, ALBA IULIA 510009, ROMANIA","ROMANIA"
221,"1 DECEMBER 1918 UNIV ALBA JULIA, DEPT EXACT SCI & ENGN, FAC EXACT SCI & ENGN, GABRIEL BETHLEN 5, ALBA JULIA 510009, ROMANIA","ROMANIA"
216,"1 DECEMBER 1918 UNIV, ALBA IULIA 510009, ROMANIA","ROMANIA"
218,"1 DECEMBER 1918 UNIV, DEPT SOCIOL & SOCIAL WORK, ALBA IULIA 510009, ROMANIA","ROMANIA"
217,"1 DECEMBER 1918 UNIV, FAC HIST & LETTERS, ALBA IULIA 510009, ROMANIA","ROMANIA"
223,"1 DECEMBIRE 1918 UNIV ALBA IULIA, DEPT MATH & COMP SCI, ALBA IULIA 510009, ROMANIA","ROMANIA"
224,"1 DECEMBRE 1918 UNIV ALBA IULIA, ALBA IULIA 510009, ROMANIA","ROMANIA"
225,"1 DECEMBRE 1918 UNIV ALBA JULIA, ALBA IULIA 510009, ROMANIA","ROMANIA"
281,"1 DECEMBRIE 1918 UNIV ALBA IULIA, 15-17 UNIRII ST, ALBA IULIA, ROMANIA","ROMANIA"
282,"1 DECEMBRIE 1918 UNIV ALBA IULIA, 5 GABRIEL BETHLEN ST, ALBA IULIA 510009, ROMANIA","ROMANIA"
285,"1 DECEMBRIE 1918 UNIV ALBA IULIA, 5 GABRIEL BETHLEN ST, ALBA IULIA, ROMANIA","ROMANIA"
289,"1 DECEMBRIE 1918 UNIV ALBA IULIA, 5 GABRIEL BETHLEN STR, ALBA IULIA 510009, ROMANIA","ROMANIA"
259,"1 DECEMBRIE 1918 UNIV ALBA IULIA, ALA JULIA, ROMANIA","ROMANIA"
265,"1 DECEMBRIE 1918 UNIV ALBA IULIA, ALBA IULIA 500009, ROMANIA","ROMANIA"
258,"1 DECEMBRIE 1918 UNIV ALBA IULIA, ALBA IULIA 510009, ALBA, ROMANIA","ROMANIA"
250,"1 DECEMBRIE 1918 UNIV ALBA IULIA, ALBA IULIA 510009, ROMANIA","ROMANIA"
253,"1 DECEMBRIE 1918 UNIV ALBA IULIA, ALBA IULIA 51009, ROMANIA","ROMANIA"
268,"1 DECEMBRIE 1918 UNIV ALBA IULIA, ALBA IULIA 510095, ROMANIA","ROMANIA"
249,"1 DECEMBRIE 1918 UNIV ALBA IULIA, ALBA IULIA, ROMANIA","ROMANIA"
244,"1 DECEMBRIE 1918 UNIV ALBA IULIA, ALBA JULIA 51009, ROMANIA","ROMANIA"
264,"1 DECEMBRIE 1918 UNIV ALBA IULIA, ALBA JULIA, ROMANIA","ROMANIA"
284,"1 DECEMBRIE 1918 UNIV ALBA IULIA, BUCHAREST, ROMANIA","ROMANIA"
283,"1 DECEMBRIE 1918 UNIV ALBA IULIA, DEPT EXACT SCI & ENGN, 11-13 NICOLAE IORGA ST, ALBA IULIA 510009, ROMANIA","ROMANIA"
276,"1 DECEMBRIE 1918 UNIV ALBA IULIA, DEPT EXACT SCI & ENGN, ALBA IULIA 510009, ROMANIA","ROMANIA"
